cut,flagged_alone,pct_alone,removed_here,remaining,pct_remaining
known-RFI frequency mask,416640,89.86573200323538,416640,46985,10.134267996764626
drift rate exactly zero,124030,26.75222431922351,2,46983,10.133836613642492
drift rate above plausible max,12756,2.75136155297924,991,45992,9.920086276624428
SNR below window,105137,22.67716365597196,11083,34909,7.529576705311404
SNR above window (instrumental),0,0.0,0,34909,7.529576705311404
multi-beam coincidence,248050,53.50229172283635,34239,670,0.14451334591534107
coherent/incoherent ratio,0,0.0,0,670,0.14451334591534107
cross-epoch persistence,184678,39.83348611485576,0,670,0.14451334591534107
