row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_obs_at_freq,ra,dec
4616,MeerKAT:array_1:20250712T072515Z,Gaia_2323514707988323200,11,860.2017527371645,0.16401217301849572,11.803345,2,1,0.408112466028178,-26.06824740804821
23816,MeerKAT:array_1:20250711T085603Z,Gaia_4814724245090845952,2,870.3634298294783,-0.26651978115505554,11.783483,4,1,4.656040254433232,-43.35870343738148
86142,MeerKAT:array_1:20250708T092055Z,Gaia_2973722316508539776,14,923.9689902812243,-0.19476445545946366,11.780372,1,1,4.819652306046136,-22.106328067929518
19229,MeerKAT:array_1:20250708T094824Z,ex_CRTS_J044623.8-215436,7,879.2238574326038,-0.4202811933598953,11.770197,2,1,4.7732834,-21.910552
58386,MeerKAT:array_1:20250712T072515Z,Gaia_2323541680382961536,46,919.7934785783291,-0.25626902034139953,11.765114,4,1,0.4226773580793781,-25.850567552477553
7963,MeerKAT:array_1:20250719T033518Z,ex_2dFGRS_TGS544Z221,33,864.068842202425,0.0615045648819359,11.751067,3,1,23.721055533333335,-35.211111
58108,MeerKAT:array_1:20250712T065251Z,Gaia_2323501960525432320,54,919.9987017065287,-0.2357674987140876,11.741798,1,1,0.44401476832914566,-25.77300153566536
94432,MeerKAT:array_1:20250709T234528Z,Gaia_4216760309529984640,10,924.9905347079039,0.08200608650924786,11.734278,1,1,20.190504552414794,-6.956134050389041
2640,MeerKAT:array_1:20250703T001453Z,J2131-1207,0,864.0003473311663,-0.10250760813655982,11.650739,2,1,21.52646111111111,-12.118
3916,MeerKAT:array_1:20250709T050322Z,Gaia_4936745296762361216,7,863.9844477325678,0.07175532569559187,11.617393,2,2,2.2100262523011573,-51.11376533368264
55223,MeerKAT:array_1:20250702T211800Z,Gaia_6891277607708390528,40,919.7939728498459,0.3075228244096795,11.609126,3,2,21.533281979139947,-11.874786512352333
59269,MeerKAT:array_1:20250712T084022Z,Gaia_2323491755683138048,57,920.0907398462296,0.03075228244096795,11.6054,2,1,0.43514268766993924,-25.922934183401352
24610,MeerKAT:array_1:20250711T085603Z,ex_LEDA_546122,39,870.3634314239025,-0.2870213027823675,11.597126,4,1,4.6825833333333335,-43.664167000000006
5738,MeerKAT:array_1:20250712T084022Z,Gaia_2323471723955675136,27,864.0852169394493,0.03075228244096795,11.595704,3,1,0.444145311911225,-26.182146797198033
24968,MeerKAT:array_1:20250711T085603Z,Gaia_4814652982993590784,55,870.5634870231152,-0.19476445545946366,11.568466,1,1,4.6860639984509636,-43.79986824753711
453356,MeerKAT:array_1:20250706T145226Z,Gaia_4802454073282346112,13,871.9997619241476,-0.020501521627311965,11.564671,3,1,5.6696965819781875,-43.93978493603379
26030,MeerKAT:array_1:20250711T092345Z,Gaia_4815474210804141312,31,870.0475361198187,-0.21526597708677564,11.559376,4,1,4.642446232431467,-43.35676722933204
27132,MeerKAT:array_1:20250711T092345Z,Gaia_4790689814260965888,50,879.2236389964819,0.2870213027823675,11.546279,1,1,4.65070247795314,-43.83823028607529
9180,MeerKAT:array_1:20250731T014621Z,ex_2XMMi_J002209.9+001629,8,864.0686891376972,0.31777358522333543,11.53764,4,1,0.36943233333333336,0.274811
25582,MeerKAT:array_1:20250711T085603Z,ex_CRTS_J044000.9-433336,11,876.8673573881388,-0.37927815010527133,11.514918,3,1,4.666950399999999,-43.560016
32933,MeerKAT:array_1:20250719T113106Z,Gaia_2993082448533709952,10,872.1995369046926,-0.1230091297638718,11.496268,1,1,6.179619303955876,-15.493168180090526
5578,MeerKAT:array_1:20250712T080758Z,Gaia_2323541680382961536,47,867.8982075899839,-0.1742629338321517,11.489588,1,1,0.4226773580793781,-25.850567552477553
56980,MeerKAT:array_1:20250703T011955Z,Gaia_6891266440793409024,59,919.7943618893623,-0.03075228244096795,11.483721,3,1,21.53146518350574,-12.064739321085314
26718,MeerKAT:array_1:20250711T092345Z,Gaia_4814731288837203840,51,870.4522695541382,-0.27677054196871154,11.478925,1,1,4.659909378673284,-43.21085384208377
97078,MeerKAT:array_1:20250710T004923Z,Gaia_4216739384449371008,25,924.99093490839,0.07175532569559187,11.472386,1,1,20.18072675927588,-7.000850271144432
31823,MeerKAT:array_1:20250713T113750Z,Gaia_5096075080066407168,41,869.9930865317583,-0.04100304325462393,11.470233,1,1,4.162894213300633,-18.05405596569397
26572,MeerKAT:array_1:20250711T092345Z,Gaia_4814717201344514432,40,870.4522567987442,-0.08200608650924786,11.453086,3,1,4.674992132271368,-43.257906336038324
59263,MeerKAT:array_1:20250712T084022Z,Gaia_2323468184902582656,53,920.0907382518053,0.04100304325462393,11.45297,4,1,0.4216963550414769,-26.09844556758427
9363,MeerKAT:array_1:20250731T014621Z,Gaia_2545284171790807424,55,864.0686891376972,0.31777358522333543,11.446486,4,1,0.36930137960347803,-0.0053105469673571
33183,MeerKAT:array_1:20250719T113106Z,Gaia_2993134881494086656,9,876.0194298177958,-0.14351065139118374,11.446366,1,1,6.162056059372609,-15.370397245481902
917,MeerKAT:array_1:20250701T205536Z,Gaia_1315516051468922752,2,863.9580536335707,-0.03075228244096795,11.424716,1,1,16.15179909607706,26.538321752380565
26194,MeerKAT:array_1:20250711T092345Z,Gaia_4814717579301657728,7,870.4154766201973,-0.2870213027823675,11.420975,1,1,4.663874595240551,-43.56438483626821
18726,MeerKAT:array_1:20250708T094824Z,Gaia_2973726641538374784,63,870.4524561017752,-0.3075228244096795,11.414991,2,1,4.814706831504631,-22.03913741946642
25222,MeerKAT:array_1:20250711T085603Z,ex_LEDA_548805,22,872.153014793992,-0.3485258676643034,11.412523,1,1,4.664555533333333,-43.43416700000001
24522,MeerKAT:array_1:20250711T085603Z,ex_LEDA_547903,35,870.5634934008121,-0.26651978115505554,11.407681,1,1,4.678843333333333,-43.509735
2769,MeerKAT:array_1:20250703T001453Z,Gaia_6891267952621897728,50,864.0003505200148,-0.14351065139118374,11.400037,3,1,21.53407329165132,-11.993754597794672
7996,MeerKAT:array_1:20250719T033518Z,Gaia_2311990344364857984,45,864.068842202425,0.0615045648819359,11.391311,3,1,23.686119108413834,-34.824221116885916
31804,MeerKAT:array_1:20250713T113750Z,Gaia_5096294707514418816,31,869.993091315031,-0.13325989057752777,11.351776,4,1,4.152349836923491,-17.596859625306614
9860,MeerKAT:array_1:20250731T030702Z,Gaia_2546791159852136704,51,864.0687863975763,0.1845136946458077,11.339568,1,1,0.3652179958972771,0.12884245241174172
26616,MeerKAT:array_1:20250711T092345Z,Gaia_4790685514997839616,44,870.1211219877005,-0.21526597708677564,11.323175,3,1,4.664807779506699,-43.713114724317855
19522,MeerKAT:array_1:20250708T101552Z,Gaia_2973729394614635264,19,872.0094990730286,-0.04100304325462393,11.3171215,2,3,4.814704106440344,-21.96038925477901
59588,MeerKAT:array_1:20250712T091244Z,Gaia_2323451176832108672,18,919.7921902835369,0.19476445545946366,11.316336,3,1,0.43666150725145125,-26.21537011793145
31783,MeerKAT:array_1:20250713T113750Z,Gaia_5096066696290217088,20,869.9930945038795,-0.16401217301849572,11.307512,2,1,4.144780399765647,-18.02151418254042
124480,MeerKAT:array_1:20250719T113106Z,Gaia_2992961880211481088,44,924.2114368379116,-0.14351065139118374,11.306708,4,1,6.172616583951237,-15.833807602470436
1032,MeerKAT:array_1:20250701T205536Z,Gaia_1315526840426659584,52,863.9580456614494,0.0615045648819359,11.2866745,2,1,16.140571595056766,26.52323790686512
4335,MeerKAT:array_1:20250709T052824Z,Gaia_4936833292052092416,46,863.9153326302767,0.1127583689502158,11.270086,1,1,2.164232895882615,-51.287961635526685
4348,MeerKAT:array_1:20250709T052824Z,Gaia_4936845386679996672,49,863.9153342247009,0.09225684732290385,11.265276,2,1,2.162167866988004,-51.248519538888736
26398,MeerKAT:array_1:20250711T092345Z,Gaia_4790699641146123392,26,870.1211219877005,-0.21526597708677564,11.261105,3,1,4.654135322112151,-43.530715569720456
26729,MeerKAT:array_1:20250711T092345Z,Gaia_4790685519293655168,53,870.1211012601852,0.2460182595277436,11.254227,1,1,4.664251263323484,-43.70902635205668
31842,MeerKAT:array_1:20250713T113750Z,Gaia_5096074702109281664,52,869.9928680956364,-0.09225684732290385,11.254209,3,1,4.167824803799603,-18.029385944381236
24657,MeerKAT:array_1:20250711T085603Z,ex_LEDA_550211,41,870.4899202883244,-0.4100304325462393,11.25338,1,1,4.684138866666667,-43.321389
15674,MeerKAT:array_1:20250706T070740Z,Gaia_4802448094687886336,31,875.0041291564703,-0.03075228244096795,11.2485,1,1,5.672826353035349,-44.116932951066936
33529,MeerKAT:array_1:20250719T212149Z,Gaia_4216723235372200320,22,875.0023418068886,0.05125380406827991,11.240525,4,1,20.18742368136551,-7.085647020056507
23337,MeerKAT:array_1:20250711T085603Z,ex_ASASSN-V_J044053.36-432617.8,9,870.0685012042522,-0.2460182595277436,11.240397,3,1,4.681488,-43.43829
914,MeerKAT:array_1:20250701T205536Z,Gaia_1315540893559681280,1,863.9580472558737,0.09225684732290385,11.231686,1,1,16.139575385961148,26.812817353637488
4567,MeerKAT:array_1:20250712T072515Z,Gaia_2323461308659779968,41,856.2008225172758,0.04100304325462393,11.2130375,1,1,0.4084601817173915,-26.15566720106375
5599,MeerKAT:array_1:20250712T080758Z,Gaia_2323473785539976320,58,867.8982091844082,-0.2460182595277436,11.208899,1,1,0.44799319123105896,-26.120309630292446
59627,MeerKAT:array_1:20250712T091244Z,Gaia_2323473751180238080,37,919.9965651780367,0.04100304325462393,11.208161,2,1,0.44695146972701244,-26.132411732705954
33637,MeerKAT:array_1:20250719T212149Z,Gaia_4216770239494934912,58,875.0023418068886,0.05125380406827991,11.206107,4,1,20.209124829772904,-6.767475204865857
12475,MeerKAT:array_1:20250701T141247Z,ex_ASASSN-V_J133758.89-124619.2,22,872.1317706853151,-0.03075228244096795,11.189732,4,1,13.633025333333334,-12.772
5733,MeerKAT:array_1:20250712T084022Z,Gaia_2323470796242741120,26,864.0852169394493,0.03075228244096795,11.159855,3,1,0.4450502053538468,-26.224690408003458
5574,MeerKAT:array_1:20250712T080758Z,Gaia_2323547624617696384,45,867.8982107788324,-0.26651978115505554,11.142314,3,1,0.4203365840945913,-25.745061051431694
453410,MeerKAT:array_1:20250706T145226Z,Gaia_4802485993479359232,40,871.9997619241476,-0.020501521627311965,11.120745,3,1,5.623847156547368,-43.96764153715095
25982,MeerKAT:array_1:20250711T092345Z,Gaia_4790682873593840768,4,870.0107320249081,-0.04100304325462393,11.088895,3,1,4.66859444816198,-43.80858839010155
58329,MeerKAT:array_1:20250712T072515Z,Gaia_2323501238970926848,25,919.7934849560261,-0.3587766284779594,11.0792465,4,1,0.4391629920725987,-25.837251235257657
60121,MeerKAT:array_1:20250719T003939Z,Gaia_2311984576224577408,42,919.7944065332413,0.04100304325462393,11.077612,2,3,23.68487654798556,-34.98737205018605
446757,MeerKAT:array_1:20250731T030702Z,Gaia_2546856546434247680,34,864.0688007473946,0.010250760813655982,11.063116,2,1,0.35561506530990933,0.3510469851690269
32971,MeerKAT:array_1:20250719T113106Z,Gaia_2992967927525411712,39,872.2136507481337,0.08200608650924786,11.038942,1,1,6.176059824941919,-15.800497213491798
8487,MeerKAT:array_1:20250720T121928Z,ex_LEDA_941779,39,863.9588157683611,-0.1845136946458077,11.022947,4,1,13.644083333333333,-13.169722000000002
475291,MeerKAT:array_1:20250701T220028Z,Gaia_1315530070242072192,48,919.9845400303602,-0.020501521627311965,11.013584,4,2,16.144168357610162,26.645205687215824
28123,MeerKAT:array_1:20250711T110722Z,Gaia_4814718025978254720,10,875.0021951198578,-0.1845136946458077,11.006277,4,1,4.665377628619586,-43.538361968684164
9210,MeerKAT:array_1:20250731T014621Z,ex_[VV2006]_J002342.4+002041,16,864.0686859488487,0.3587766284779594,10.993038,2,1,0.3951038666666667,0.344941
20870,MeerKAT:array_1:20250708T122415Z,Gaia_2973719670808718208,39,872.2142486572266,0.26651978115505554,10.978467,1,1,4.804205749766748,-22.142469130066893
59578,MeerKAT:array_1:20250712T091244Z,Gaia_2323514707988323200,13,919.7921950668097,0.08200608650924786,10.97619,2,1,0.408112466028178,-26.06824740804821
5527,MeerKAT:array_1:20250712T080758Z,Gaia_2323514707988323200,12,867.8789469450712,-0.38952891091892733,10.975631,3,1,0.408112466028178,-26.06824740804821
58675,MeerKAT:array_1:20250712T073536Z,Gaia_2323507939119865600,27,920.0908402949572,-0.03075228244096795,10.965498,1,1,0.4070275109165918,-26.150170880911375
58409,MeerKAT:array_1:20250712T072515Z,Gaia_2323503266195488896,54,919.7934849560261,-0.3587766284779594,10.965133,4,1,0.4406021344059661,-25.71875511548747
20335,MeerKAT:array_1:20250708T112920Z,Gaia_2973618962415819648,28,874.9924547821283,-0.2255167379004316,10.941703,4,1,4.802060981994817,-22.347811276554786
58103,MeerKAT:array_1:20250712T065251Z,Gaia_2323457052347344640,52,919.9986921399832,-0.03075228244096795,10.937655,1,1,0.4153387759664055,-26.22478242039848
19629,MeerKAT:array_1:20250708T101552Z,Gaia_2973930948839694464,5,875.0110122859478,-0.25626902034139953,10.93531,2,1,4.780498936511609,-21.80480449845446
25409,MeerKAT:array_1:20250711T085603Z,ex_LEDA_550602,25,874.5101813077927,-0.2972720635960235,10.932417,4,1,4.667118333333334,-43.288916
24727,MeerKAT:array_1:20250711T085603Z,ex_2MFGC_3840,44,870.3634362071753,-0.33827510685064743,10.90696,1,1,4.686498066666667,-43.42469799999999
23468,MeerKAT:array_1:20250711T085603Z,ex_LEDA_543272,26,870.0685139596462,-0.38952891091892733,10.892134,1,1,4.667416666666667,-43.891944
5507,MeerKAT:array_1:20250712T080758Z,ex_2dFGRS_TGS138Z230,5,867.8982107788324,-0.26651978115505554,10.885595,3,1,0.4409722,-25.986944
4509,MeerKAT:array_1:20250712T065251Z,Gaia_2323522988685265664,21,867.8792769908905,0.07175532569559187,10.87976,1,1,0.40904565173195506,-25.80706425553769
5593,MeerKAT:array_1:20250712T080758Z,Gaia_2323484986814681216,54,867.8982123732567,-0.26651978115505554,10.871445,2,1,0.44696804585555744,-25.94524782983008
5544,MeerKAT:array_1:20250712T080758Z,Gaia_2323445610554475648,21,867.7536108493805,0.3690273892916154,10.871438,1,1,0.43083152257176177,-26.327166951040557
8432,MeerKAT:array_1:20250720T121928Z,Gaia_3610236641572903552,22,863.9588046073914,0.08200608650924786,10.867988,3,1,13.620131331758262,-12.799449345584831
8528,MeerKAT:array_1:20250720T121928Z,ex_2MASX_J13372927-1250134,52,863.9588014185429,0.1127583689502158,10.848864,1,1,13.624793333333335,-12.836946
25995,MeerKAT:array_1:20250711T092345Z,Gaia_4790685927314716416,8,870.0107240527868,0.16401217301849572,10.834131,1,1,4.662721897951874,-43.666881653745975
8493,MeerKAT:array_1:20250720T121928Z,ex_LEDA_942369,41,863.9588157683611,-0.1127583689502158,10.8319235,3,1,13.647111133333334,-13.134722
31802,MeerKAT:array_1:20250713T113750Z,Gaia_5096274710146663680,30,869.9928585290909,0.10250760813655982,10.822572,2,1,4.132383220136932,-17.7208368441366
26289,MeerKAT:array_1:20250711T092345Z,Gaia_4814702250562055168,15,870.4154606759548,-0.04100304325462393,10.817131,2,1,4.68526409921731,-43.6548419712241
5807,MeerKAT:array_1:20250712T084022Z,Gaia_2323469421853163264,42,864.0852153450251,0.04100304325462393,10.808169,1,1,0.4201544429107395,-26.040419916615008
4176,MeerKAT:array_1:20250709T052824Z,Gaia_4936955578360865408,12,863.9153342247009,0.09225684732290385,10.789512,2,1,2.19132353099221,-50.747211774977465
31857,MeerKAT:array_1:20250713T113750Z,Gaia_5096289141236763648,60,869.9930945038795,-0.16401217301849572,10.78345,2,1,4.148362771037634,-17.591628421521133
26171,MeerKAT:array_1:20250711T092345Z,Gaia_4790698709137405184,6,870.1331997513771,-0.2870213027823675,10.759045,2,1,4.655136963691296,-43.619094036869114
9379,MeerKAT:array_1:20250731T014621Z,Gaia_2545284897641904256,59,864.0687098652124,0.05125380406827991,10.743972,1,2,0.36816337212327443,-0.011618319582997833
31755,MeerKAT:array_1:20250713T113750Z,Gaia_5096066936808385920,5,869.9930897206068,-0.1127583689502158,10.731877,2,1,4.142505882424454,-18.00840486827864
20392,MeerKAT:array_1:20250708T112920Z,Gaia_2973821306914811136,47,874.9924547821283,-0.2255167379004316,10.712071,4,1,4.768393729150758,-22.177672180239966
5533,MeerKAT:array_1:20250712T080758Z,Gaia_2323496325528339456,15,867.763312920928,-0.1742629338321517,10.7108555,2,1,0.4336127616599986,-25.828803618698714
24105,MeerKAT:array_1:20250711T085603Z,ex_LEDA_551050,16,870.363440990448,-0.38952891091892733,10.702596,1,1,4.6557222,-43.254166999999995
1056,MeerKAT:array_1:20250701T205536Z,Gaia_1315902701604435328,61,863.9580472558737,0.04100304325462393,10.698254,1,1,16.17517649915087,26.83606350667026
455475,MeerKAT:array_1:20250711T085603Z,ex_LEDA_545279,21,876.561451151967,-0.020501521627311965,10.694152,3,1,4.6632777999999995,-43.73416699999999
23967,MeerKAT:array_1:20250711T085603Z,ex_QSO_J0441-4313,8,870.4289750158787,-0.33827510685064743,10.685253,2,1,4.6881496,-43.229302
26587,MeerKAT:array_1:20250711T092345Z,Gaia_4814721010979139712,41,870.599430128932,-0.09225684732290385,10.679157,4,1,4.658792008486357,-43.415537495985824
9840,MeerKAT:array_1:20250731T030702Z,ex_SDSS_J002155.52+001434.3,7,864.0687848031521,0.19476445545946366,10.678921,1,1,0.36542313333333337,0.242872
26739,MeerKAT:array_1:20250711T092345Z,Gaia_4790685519293655168,53,870.3418843746185,-0.2357674987140876,10.671576,3,1,4.664251263323484,-43.70902635205668
31786,MeerKAT:array_1:20250713T113750Z,ex_LEDA_876058,22,869.9928585290909,0.1127583689502158,10.660402,2,1,4.130805533333334,-17.875833
5565,MeerKAT:array_1:20250712T080758Z,Gaia_2323546078429470080,38,867.7633240818977,-0.3075228244096795,10.650893,1,1,0.417904539026241,-25.76805975998401
10130,MeerKAT:array_1:20250731T041226Z,Gaia_2546822083616734592,40,868.0943568497896,-0.2255167379004316,10.647998,1,1,0.3960635830048689,0.3690624158081592
998,MeerKAT:array_1:20250701T205536Z,Gaia_1315903556301220096,37,863.9580456614494,0.0615045648819359,10.646128,2,1,16.166371463408474,26.856458609972574
31858,MeerKAT:array_1:20250713T113750Z,Gaia_5096289106877025920,61,869.9930929094553,-0.14351065139118374,10.645923,1,1,4.148165144506021,-17.598717889674948
24556,MeerKAT:array_1:20250711T085603Z,ex_LEDA_548218,37,870.3634330183268,-0.3075228244096795,10.63706,3,1,4.680916666666667,-43.484444
21429,MeerKAT:array_1:20250708T125143Z,Gaia_2973637757192634496,32,876.1984230726957,0.4100304325462393,10.633443,3,1,4.786271360771106,-22.145408067366734
86178,MeerKAT:array_1:20250708T092055Z,Gaia_2973726164799247232,51,923.9689902812243,-0.21526597708677564,10.630147,1,1,4.811146038892258,-22.070323880723237
86219,MeerKAT:array_1:20250708T092055Z,Gaia_2973639956215900544,9,924.9979790747166,-0.14351065139118374,10.629741,2,1,4.774867530202747,-22.13844383384411
9258,MeerKAT:array_1:20250731T014621Z,ex_LEDA_1448,28,864.0686843544245,0.37927815010527133,10.620763,3,2,0.3755214666666667,0.357537
8499,MeerKAT:array_1:20250720T121928Z,Gaia_3607217794959970688,43,863.9588173627853,-0.20501521627311964,10.620598,3,1,13.649184845319676,-12.99508248140491
56963,MeerKAT:array_1:20250703T011955Z,Gaia_6891321588173546880,16,919.7943618893623,-0.03075228244096795,10.597101,3,1,21.510419545988956,-11.881173413232286
26078,MeerKAT:array_1:20250711T092345Z,Gaia_4814707546258049024,49,870.010738402605,-0.20501521627311964,10.595952,1,1,4.671554888964966,-43.543641373992735
25990,MeerKAT:array_1:20250711T092345Z,Gaia_4790698709137405184,6,870.0107479691505,-0.31777358522333543,10.594288,1,1,4.655136963691296,-43.619094036869114
9343,MeerKAT:array_1:20250731T014621Z,Gaia_2546822152336210816,50,864.0686843544245,0.37927815010527133,10.592833,3,2,0.39369757350560897,0.3652686135360616
3968,MeerKAT:array_1:20250709T050322Z,Gaia_4936858890057191808,20,863.9844461381435,0.08200608650924786,10.57101,1,2,2.165106978539696,-51.00006369206486
5569,MeerKAT:array_1:20250712T080758Z,Gaia_2323442827415662336,40,867.8885549455881,-0.08200608650924786,10.52817,1,1,0.42371923576251236,-26.3370727482232
54696,MeerKAT:array_1:20250701T212801Z,Gaia_1315917579371131136,13,919.7938118129969,-0.03075228244096795,10.526492,3,1,16.15319427293243,26.885457122577982
