row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_beams_formed,beam_frac,n_obs_at_freq,n_obs_at_freq_drift,ra,dec
54981,MeerKAT:array_1:20250701T220028Z,Gaia_1315967293617075840,41,919.9845400303602,-0.03075228244096795,12.82865,2,64,0.03125,2,1,16.145285691747983,27.026204492953465
58689,MeerKAT:array_1:20250712T073536Z,Gaia_2323545631752871680,33,919.7934116125107,-0.05125380406827991,12.823496,4,64,0.0625,1,1,0.41495575354893793,-25.800299572204047
33297,MeerKAT:array_1:20250719T113106Z,Gaia_2992974490235407360,61,876.214630395174,0.08200608650924786,12.802032,3,64,0.046875,1,1,6.1744883356453775,-15.655132109572751
4514,MeerKAT:array_1:20250712T065251Z,Gaia_2323497596838660992,28,867.8792753964663,-0.09225684732290385,12.801484,1,64,0.015625,1,1,0.44672332300852996,-25.873406683865543
1979,MeerKAT:array_1:20250702T222259Z,Gaia_6891291214164730880,19,864.0010329335928,-0.09225684732290385,12.799883,3,64,0.046875,1,1,21.50580034930643,-12.09476043124994
16146,MeerKAT:array_1:20250706T093833Z,Gaia_4802831137051634688,23,872.0094528347254,-0.04100304325462393,12.776038,2,64,0.03125,1,1,5.6590796196056194,-43.75652864734912
6308,MeerKAT:array_1:20250712T091244Z,Gaia_2323460591400385152,8,866.6568638086319,0.2972720635960235,12.753819,3,64,0.046875,1,1,0.40761898681098324,-26.199979240884268
27258,MeerKAT:array_1:20250711T092345Z,Gaia_4814652158359882752,36,879.9765946865082,0.05125380406827991,12.75124,1,64,0.015625,1,1,4.694333093243185,-43.813957795250346
58621,MeerKAT:array_1:20250712T073536Z,ex_2MASX_J00253041-2600396,2,919.7934116125107,-0.05125380406827991,12.747715,4,64,0.0625,1,1,0.4251242,-26.010999
365927,MeerKAT:array_1:20250706T063501Z,Gaia_4802453729684965760,12,924.997647434473,-0.020501521627311965,12.747094,2,64,0.03125,1,1,5.667963531482492,-43.94882095635876
