cut,flagged_alone,pct_alone,removed_here,remaining,pct_remaining
known-RFI frequency mask,13673,90.4358753885839,13673,1446,9.5641246114161
drift rate exactly zero,0,0.0,0,1446,9.5641246114161
drift rate above plausible max,0,0.0,0,1446,9.5641246114161
SNR below window,2707,17.904623321648256,453,993,6.567894702030557
SNR above window (instrumental),0,0.0,0,993,6.567894702030557
multi-beam coincidence,949,6.276870163370593,99,894,5.913089490045638
coherent/incoherent ratio,0,0.0,0,894,5.913089490045638
cross-epoch persistence,311,2.057014352801111,0,894,5.913089490045638
