cut,flagged_alone,pct_alone,removed_here,remaining,pct_remaining
known-RFI frequency mask,33449,86.70935296557445,33449,5127,13.29064703442555
drift rate exactly zero,12941,33.54676482787225,1786,3341,8.660825383658233
drift rate above plausible max,0,0.0,0,3341,8.660825383658233
SNR below window,12005,31.120385732061386,1753,1588,4.116549149730402
SNR above window (instrumental),1088,2.8204064703442553,0,1588,4.116549149730402
multi-beam coincidence,37093,96.15564081294069,1545,43,0.11146827042720862
coherent/incoherent ratio,0,0.0,0,43,0.11146827042720862
cross-epoch persistence,1579,4.093218581501452,0,43,0.11146827042720862
