cut,flagged_alone,pct_alone,removed_here,remaining,pct_remaining
known-RFI frequency mask,790476,91.27877302823781,790476,75526,8.72122697176219
drift rate exactly zero,403570,46.60150900344341,15049,60477,6.983471169812541
drift rate above plausible max,0,0.0,0,60477,6.983471169812541
SNR below window,184027,21.250181870249722,15615,44862,5.180357551137296
SNR above window (instrumental),3520,0.4064655739825081,0,44862,5.180357551137296
multi-beam coincidence,606147,69.99371825931118,44064,798,0.09214759319262542
coherent/incoherent ratio,0,0.0,0,798,0.09214759319262542
cross-epoch persistence,430230,49.6800238336632,0,798,0.09214759319262542
