row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_beams_formed,beam_frac,n_obs_at_freq,ra,dec
179,MeerKAT:array_1:20250706T155525Z,Gaia_6440702690449243520,62,863.9905623495579,-0.02017610064910066,21.379333,2,64,0.03125,1,19.65862345313282,-63.697209650691896
2007,MeerKAT:array_1:20250704T110253Z,Gaia_4669703025074062592,37,920.1392278820276,-0.03026415097365099,21.351885,2,64,0.03125,1,4.101380907584322,-65.82776928736503
129,MeerKAT:array_1:20250705T161659Z,ex_IRAS_17081-3317,29,863.946310698986,0.01008805032455033,21.349165,4,63,0.06349206349206349,1,17.189983466666668,-33.356702
862,MeerKAT:array_1:20250713T220240Z,J1939-6342,0,874.9921071976423,0.05548427678502682,21.324495,1,64,0.015625,1,19.65695277777778,-63.71266666666667
76,MeerKAT:array_1:20250701T133303Z,Gaia_4669709587784079488,7,863.9917135238647,0.06052830194730198,21.263134,3,64,0.046875,1,4.138289303494584,-65.93475154260774
932,MeerKAT:array_1:20250720T063432Z,Gaia_5083292638918828160,24,872.0005463808775,0.005044025162275165,21.251204,2,64,0.03125,1,3.992088031142666,-24.086330176181093
469,MeerKAT:array_1:20250722T155604Z,Gaia_6440638502162885632,25,863.9917868673801,0.01008805032455033,21.2377,2,64,0.03125,1,19.6898754271324,-63.92715711276794
14878,MeerKAT:array_1:20240319T020710Z,Gaia_2531005849368549376,27,1288.9803850352764,-0.09583647808322814,21.15743,4,64,0.0625,1,0.7393356573213863,-0.3878247195616528
470,MeerKAT:array_1:20250722T155604Z,Gaia_6441463346336885376,42,863.9917868673801,0.01008805032455033,21.153807,2,64,0.03125,1,19.639201520685795,-63.450577693279946
3273,MeerKAT:array_1:20250715T232237Z,Gaia_6440703888743020928,49,924.9922853857279,0.16645283035508046,21.135191,2,63,0.031746031746031744,2,19.66295112643198,-63.71417147113698
6669,MeerKAT:array_1:20250709T224008Z,Gaia_6440683861312632064,1,960.0000349730253,-0.19167295616645627,21.120302,3,64,0.046875,1,19.644118970760356,-63.8545324794734
611,MeerKAT:array_1:20250701T095804Z,Gaia_4669729585151865728,12,871.9806081056595,-0.04539622646047649,21.04159,3,64,0.046875,1,4.107257170354558,-65.65160918439804
2943,MeerKAT:array_1:20250710T164056Z,Gaia_6440638059781321472,61,924.9982549101114,0.20680503165328176,21.036186,2,64,0.03125,1,19.68522833013746,-63.95992120837882
128,MeerKAT:array_1:20250705T161659Z,ex_ASASSN-V_J171121.72-331346.2,28,863.946310698986,0.01008805032455033,20.96488,4,63,0.06349206349206349,1,17.18936666666667,-33.2295
14891,MeerKAT:array_1:20240319T020710Z,Gaia_2530969599844561536,33,1525.0731515288353,0.005044025162275165,20.871534,1,64,0.015625,1,0.7342646712997313,-0.5011760979067167
130,MeerKAT:array_1:20250705T161659Z,ex_ASASSN-V_J171129.22-332857.0,30,863.946310698986,0.01008805032455033,20.834164,4,63,0.06349206349206349,1,17.191451333333333,-33.48249
2582,MeerKAT:array_1:20250704T110253Z,Gaia_4669721579331652480,11,923.9749486446381,-0.04539622646047649,20.763811,1,64,0.015625,1,4.150853913562524,-65.61806567427121
207,MeerKAT:array_1:20250708T083640Z,Gaia_4668957315672408448,25,863.9986699968576,0.02017610064910066,20.738894,3,64,0.046875,1,4.167943327077473,-65.91490365815017
536,MeerKAT:array_1:20250731T130553Z,Gaia_5423507134564963584,9,863.9644488692284,0.015132075486825495,20.723782,3,64,0.046875,2,9.346298024665936,-45.817176145070235
2220,MeerKAT:array_1:20250713T220240Z,Gaia_6441082537356501760,54,919.7943268120289,-0.04035220129820132,20.705133,3,64,0.046875,1,19.696392662757937,-63.467541290743405
214,MeerKAT:array_1:20250708T085539Z,Gaia_2978888612409926784,43,860.0097776800394,-0.02017610064910066,20.629656,3,64,0.046875,1,4.667929257784091,-18.344630832204633
2942,MeerKAT:array_1:20250710T164056Z,Gaia_6441062776211006336,29,924.9982549101114,0.20680503165328176,20.547586,2,64,0.03125,1,19.694469190727833,-63.74544567268714
3269,MeerKAT:array_1:20250715T232237Z,Gaia_6441067449135162496,19,924.9922837913036,0.1714968555173556,20.541117,2,63,0.031746031746031744,1,19.69684218218051,-63.63304149267422
272,MeerKAT:array_1:20250711T071356Z,Gaia_4669697488859890176,12,856.7492885142565,-0.015132075486825495,20.532427,1,64,0.015625,1,4.1006057577474975,-65.9909221319285
927,MeerKAT:array_1:20250719T204244Z,Gaia_6441013955318647680,44,872.0092630982399,0.05548427678502682,20.514912,1,64,0.015625,2,19.696488870777504,-63.88375237527816
147,MeerKAT:array_1:20250706T014240Z,Gaia_6440681490490698624,27,863.9567525833845,-0.03026415097365099,20.475664,4,64,0.0625,1,19.632325771201042,-63.959773480032126
871,MeerKAT:array_1:20250714T053348Z,Gaia_4669816377850832640,56,872.4540835469961,0.035308176135926156,20.453178,2,62,0.03225806451612903,3,4.15383398790465,-65.51608871714133
14889,MeerKAT:array_1:20240319T020710Z,Gaia_2531005849368549376,27,1525.0548921823502,-0.01008805032455033,20.433064,1,64,0.015625,1,0.7393356573213863,-0.3878247195616528
213,MeerKAT:array_1:20250708T085539Z,Gaia_2978991794704183424,34,860.0097776800394,-0.02017610064910066,20.41188,3,64,0.046875,1,4.682541670126783,-18.13980172996399
15069,MeerKAT:array_1:20240319T020710Z,Gaia_2530940462786470656,49,1562.039005562663,-0.005044025162275165,20.140266,1,64,0.015625,1,0.7577030230840216,-0.5755156261173519
482,MeerKAT:array_1:20250727T171701Z,Gaia_6440696333897680640,28,863.9909258782864,-0.035308176135926156,20.065912,2,62,0.03225806451612903,1,19.634075757569132,-63.81471396984973
501,MeerKAT:array_1:20250730T235713Z,Gaia_4669683714901017216,52,863.9564847201109,-0.0857484277586778,20.042908,3,64,0.046875,1,4.124901104607179,-66.07362089590109
477,MeerKAT:array_1:20250727T171701Z,Gaia_6441452591738787072,3,863.9909258782864,-0.035308176135926156,19.950006,2,62,0.03225806451612903,1,19.619179211893577,-63.66849638242992
888,MeerKAT:array_1:20250715T232237Z,Gaia_6440693138442023936,18,872.0095548778772,0.015132075486825495,19.924276,1,63,0.015873015873015872,2,19.61874868558188,-63.958496571759156
1960,MeerKAT:array_1:20250701T095804Z,Gaia_4669684122921763584,1,915.9796317219734,-0.06052830194730198,19.921244,1,64,0.015625,1,4.123567914910958,-66.04452364149171
14879,MeerKAT:array_1:20240319T020710Z,Gaia_2543026054080860416,29,1288.9803850352764,-0.09583647808322814,19.895292,4,64,0.0625,1,0.7251322501176422,-0.14034722709361452
556,MeerKAT:array_1:20250731T141132Z,Gaia_5931543526018044544,36,863.9566840231419,0.035308176135926156,19.894245,1,64,0.015625,1,16.24077805546326,-56.23046521058427
14897,MeerKAT:array_1:20240319T020710Z,Gaia_2530997225074268544,53,1525.0331219136715,-0.03026415097365099,19.882795,2,64,0.03125,1,0.7639154324518892,-0.3922466246226695
