row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_beams_formed,beam_frac,n_obs_at_freq,n_obs_at_freq_drift,ra,dec
24014,MeerKAT:array_1:20250712T092209Z,J0408-6545,0,879.9966652989388,0.06052830194730198,18.537762,2,64,0.03125,1,1,4.138994444444445,-65.75252777777777
58021,MeerKAT:array_1:20250708T083640Z,Gaia_4669702475318229760,52,919.9956818670034,-0.15132075486825497,18.50527,3,64,0.046875,1,1,4.090497010742219,-65.83460510183568
301089,MeerKAT:array_1:20250712T060917Z,Gaia_4669778547779094528,47,872.4540213644505,0.01008805032455033,18.489931,3,64,0.046875,1,1,4.096527642593909,-65.49160127983093
1976,MeerKAT:array_1:20250701T095804Z,Gaia_4668964428138269952,59,867.9685870707035,-0.12105660389460396,18.454817,2,64,0.03125,1,1,4.1891414737304835,-65.82288525731616
1919,MeerKAT:array_1:20250701T095804Z,Gaia_4669729585151865728,12,867.9685870707035,-0.13618867938142945,18.429527,3,64,0.046875,1,1,4.107257170354558,-65.65160918439804
275719,MeerKAT:array_1:20240319T020710Z,Gaia_2530999625960439808,35,1525.0858144462109,-0.11096855357005364,18.41533,4,64,0.0625,1,1,0.7686932544052767,-0.3089535554304851
18573,MeerKAT:array_1:20250704T110253Z,Gaia_4669728313841533440,3,874.9921008199453,0.02017610064910066,18.31528,4,64,0.0625,1,1,4.100643179139309,-65.69721046202997
275700,MeerKAT:array_1:20240319T020710Z,Gaia_2531011621804591872,30,1525.0331346690655,-0.0857484277586778,18.165087,1,64,0.015625,1,1,0.734102522012589,-0.261544566210716
17913,MeerKAT:array_1:20250701T095804Z,Gaia_4669710824734657920,51,879.9681394547224,-0.07061635227185231,18.149382,1,64,0.015625,1,1,4.126598923470231,-65.89491523847894
10907,MeerKAT:array_1:20250719T103545Z,Gaia_4669718693114807808,4,864.0189542621374,-0.20680503165328176,18.063719,1,64,0.015625,1,1,4.150674010519596,-65.72275782362854
112765,MeerKAT:array_1:20250702T203437Z,Gaia_6440683689513934464,31,960.005020737648,0.06557232710957715,17.803371,4,64,0.0625,1,1,19.646909253418205,-63.875229648391695
1029,MeerKAT:array_1:20250701T085314Z,J0408-6545,0,863.9573297649622,0.025220125811375827,17.79043,1,64,0.015625,2,1,4.138994444444445,-65.75252777777777
2619,MeerKAT:array_1:20250702T203437Z,Gaia_6440697021092449152,46,864.0019034892321,-0.15636478003053011,17.737488,2,64,0.03125,1,1,19.634833379956643,-63.78137866933455
58055,MeerKAT:array_1:20250708T083640Z,Gaia_4669684848772399232,63,919.9956834614277,-0.19671698132873144,17.643377,3,64,0.046875,1,1,4.121875777814259,-66.03574663954605
17799,MeerKAT:array_1:20250701T095804Z,Gaia_4669681996914100864,25,879.9681522101164,-0.12105660389460396,17.63434,2,64,0.03125,1,1,4.1387636225831566,-66.09069349647753
68888,MeerKAT:array_1:20250701T095804Z,Gaia_4669729482072672512,17,923.9665540009737,-0.10592452840777847,17.62696,3,64,0.046875,1,1,4.114156205120421,-65.63433311751987
5789,MeerKAT:array_1:20250708T105617Z,Gaia_3394161750354576000,61,863.9568657875061,0.04539622646047649,17.566607,3,64,0.046875,1,1,5.339386885719578,16.748003960785237
2690,MeerKAT:array_1:20250703T155221Z,Gaia_6440634967404865024,57,868.066543713212,-0.04539622646047649,17.545343,1,64,0.015625,1,1,19.687350471161192,-63.991954097271815
2495,MeerKAT:array_1:20250702T203437Z,Gaia_6441449430642864512,15,864.0019034892321,-0.15636478003053011,17.528898,2,64,0.03125,1,1,19.609415215157334,-63.789942282956396
60938,MeerKAT:array_1:20250713T100933Z,Gaia_3394135014182950016,18,919.7910263538361,0.11096855357005364,17.515413,4,64,0.0625,1,1,5.3471070807884065,16.534528542575984
