row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_obs_at_freq,ra,dec
121774,MeerKAT:array_1:20250723T033528Z,Gaia_4658360566275045504,42,647.9386296272278,-0.06111513411746101,15.850488,1,3,5.21294526587956,-68.73978052818053
94348,MeerKAT:array_1:20250713T145219Z,Gaia_6441839791630300800,36,625.0280812382698,0.0101858556862435,15.8428755,2,3,19.684204506334098,-63.25924146463817
72327,MeerKAT:array_1:20250715T135202Z,ex_Gaia_DR2_6014515417835108352,12,599.4173075556755,-0.055003620705714906,15.831636,1,1,15.5393338,-33.354266
13025,MeerKAT:array_1:20250717T054309Z,ex_LEDA_146045,32,545.9999056458473,-0.006111513411746101,15.822328,1,2,4.053083333333333,-65.94722200000001
87145,MeerKAT:array_1:20250715T143518Z,Gaia_6272812625006192256,48,615.9901628494263,0.0162973690979896,15.817481,2,1,14.342485600667802,-24.48484505528261
134689,MeerKAT:array_1:20250715T143518Z,Gaia_6272609421513627776,44,677.9615482091904,0.020371711372487,15.80787,1,3,14.376521863256167,-24.73369839000132
99003,MeerKAT:array_1:20250718T015317Z,Gaia_4669692888951126528,38,623.9686727523804,-0.022408882509735703,15.795081,4,1,4.076726336378972,-66.05209274221967
97001,MeerKAT:array_1:20250715T130947Z,ex_ASASSN-V_J160945.20-601435.4,58,626.6923807859421,0.006111513411746101,15.789356,1,2,16.162577333333335,-60.24317
20888,MeerKAT:array_1:20250704T054305Z,Gaia_6441456641891280896,48,552.9638284444809,0.0529664495684662,15.779671,1,1,19.626405390709234,-63.54081719480556
53614,MeerKAT:array_1:20250702T185632Z,ex_ASASSN-V_J174418.84-160514.0,46,587.9941304922104,-0.0468549361567201,15.7778015,4,1,17.73857466666667,-16.08705
133366,MeerKAT:array_1:20250715T130947Z,ex_Gaia_DR3_5832981929253923840,21,677.9615512490273,-0.0101858556862435,15.755137,3,3,16.143610866666666,-60.10342300000001
128720,MeerKAT:array_1:20250723T043540Z,Gaia_4654740630345879936,37,667.1092079281807,0.012223026823492201,15.753137,1,2,4.874849501143479,-70.46632655643832
103859,MeerKAT:array_1:20250705T180344Z,Gaia_5820224257142370176,23,629.986801981926,0.040743422744974,15.748887,3,1,15.5994747360248,-68.96554079196133
86040,MeerKAT:array_1:20250715T133052Z,ex_CRTS_J151358.5-264237,8,615.9903057217598,-0.06926381866645581,15.746753,3,1,15.232940066666666,-26.710345
