cut,flagged_alone,pct_alone,removed_here,remaining,pct_remaining
known-RFI frequency mask,60180,20.068161052161212,60180,239698,79.93183894783878
drift rate exactly zero,125384,41.81167007916553,69592,170106,56.72506819439906
SNR below window,68095,22.707567744215982,30943,139163,46.40653865905468
SNR above window (instrumental),3840,1.2805207451030085,0,139163,46.40653865905468
multi-beam coincidence,289482,96.53325685778883,136621,2542,0.8476780557426686
coherent/incoherent ratio,0,0.0,0,2542,0.8476780557426686
cross-epoch persistence,23912,7.973909389818526,136,2406,0.8023262793536038
