cut,flagged_alone,pct_alone,removed_here,remaining,pct_remaining
known-RFI frequency mask,30131,83.39145355917192,30131,6001,16.608546440828075
drift rate exactly zero,11905,32.948632790877895,2804,3197,8.848112476475146
drift rate above plausible max,0,0.0,0,3197,8.848112476475146
SNR below window,8342,23.087567806930146,1542,1655,4.580427322041404
SNR above window (instrumental),2034,5.629359016937895,0,1655,4.580427322041404
multi-beam coincidence,34720,96.09210671980516,1612,43,0.11900808147902137
coherent/incoherent ratio,0,0.0,0,43,0.11900808147902137
cross-epoch persistence,4253,11.770729547215764,0,43,0.11900808147902137
