cut,flagged_alone,pct_alone,removed_here,remaining,pct_remaining
known-RFI frequency mask,491277,88.09141279205294,491277,66413,11.908587207947066
drift rate exactly zero,259609,46.55077193422869,19918,46495,8.337068980975094
SNR below window,124660,22.352920081048612,15186,31309,5.614050816762
SNR above window (instrumental),6336,1.1361150459932938,0,31309,5.614050816762
multi-beam coincidence,453408,81.30108124585342,30456,853,0.15295235704423604
coherent/incoherent ratio,0,0.0,0,853,0.15295235704423604
cross-epoch persistence,252752,45.32123581201026,0,853,0.15295235704423604
