f_lo_mhz,f_hi_mhz,label,n_beams,n_obs,n_hits
575.99445,575.99455,"empirical: 64 beams, 11 obs",64,11,564
575.99455,575.99465,"empirical: 64 beams, 14 obs",64,14,735
575.99615,575.99625,"empirical: 64 beams, 3 obs",64,3,186
575.99745,575.99755,"empirical: 64 beams, 3 obs",64,3,190
575.99885,575.99895,"empirical: 64 beams, 4 obs",64,4,206
575.99905,575.99915,"empirical: 64 beams, 3 obs",64,3,141
575.99975,575.99985,"empirical: 64 beams, 5 obs",64,5,201
575.99995,576.00005,"empirical: 64 beams, 3 obs",64,3,191
576.00015,576.00025,"empirical: 64 beams, 3 obs",64,3,122
576.00035,576.00045,"empirical: 64 beams, 4 obs",64,4,130
576.00045,576.00055,"empirical: 64 beams, 4 obs",64,4,139
576.00165,576.00175,"empirical: 63 beams, 3 obs",63,3,67
576.03985,576.03995,"empirical: 64 beams, 3 obs",64,3,192
576.04005,576.04015,"empirical: 64 beams, 3 obs",64,3,192
576.04015,576.04025,"empirical: 64 beams, 3 obs",64,3,192
576.04045,576.04055,"empirical: 64 beams, 3 obs",64,3,183
576.04055,576.04065,"empirical: 64 beams, 3 obs",64,3,192
576.04065,576.04075,"empirical: 64 beams, 5 obs",64,5,320
576.04085,576.04095,"empirical: 64 beams, 3 obs",64,3,192
576.04195,576.04205,"empirical: 64 beams, 3 obs",64,3,192
576.04415,576.04425,"empirical: 64 beams, 3 obs",64,3,192
576.04475,576.04485,"empirical: 64 beams, 3 obs",64,3,131
576.04485,576.04495,"empirical: 64 beams, 3 obs",64,3,179
576.04505,576.04515,"empirical: 64 beams, 4 obs",64,4,209
576.04515,576.04525,"empirical: 64 beams, 4 obs",64,4,202
576.04635,576.04645,"empirical: 64 beams, 3 obs",64,3,144
576.04775,576.04785,"empirical: 64 beams, 3 obs",64,3,191
576.04815,576.04825,"empirical: 64 beams, 3 obs",64,3,192
576.04865,576.04875,"empirical: 64 beams, 3 obs",64,3,150
576.05015,576.05025,"empirical: 63 beams, 3 obs",63,3,189
577.99995,578.00005,"empirical: 64 beams, 26 obs",64,26,1664
587.03355,587.03365,"empirical: 64 beams, 3 obs",64,3,190
587.03425,587.03435,"empirical: 64 beams, 3 obs",64,3,192
587.03445,587.03455,"empirical: 64 beams, 4 obs",64,4,256
587.03455,587.03465,"empirical: 64 beams, 3 obs",64,3,192
587.03465,587.03475,"empirical: 64 beams, 4 obs",64,4,256
587.03485,587.03495,"empirical: 64 beams, 7 obs",64,7,448
587.03535,587.03545,"empirical: 64 beams, 3 obs",64,3,192
587.03565,587.03575,"empirical: 64 beams, 3 obs",64,3,192
587.94425,587.94435,"empirical: 63 beams, 9 obs",63,9,152
587.94435,587.94445,"empirical: 64 beams, 13 obs",64,13,475
587.94455,587.94465,"empirical: 64 beams, 5 obs",64,5,184
587.94475,587.94485,"empirical: 64 beams, 3 obs",64,3,67
587.96335,587.96345,"empirical: 64 beams, 8 obs",64,8,312
587.96345,587.96355,"empirical: 64 beams, 13 obs",64,13,616
587.96375,587.96385,"empirical: 64 beams, 3 obs",64,3,185
587.96395,587.96405,"empirical: 64 beams, 3 obs",64,3,130
587.97015,587.97025,"empirical: 64 beams, 4 obs",64,4,199
587.97035,587.97045,"empirical: 64 beams, 4 obs",64,4,228
587.97045,587.97055,"empirical: 64 beams, 3 obs",64,3,192
587.97055,587.97065,"empirical: 64 beams, 3 obs",64,3,186
587.97065,587.97075,"empirical: 64 beams, 4 obs",64,4,135
587.97085,587.97095,"empirical: 64 beams, 3 obs",64,3,156
587.97095,587.97105,"empirical: 64 beams, 3 obs",64,3,143
587.97715,587.97725,"empirical: 64 beams, 3 obs",64,3,146
587.97725,587.97735,"empirical: 64 beams, 9 obs",64,9,496
587.97735,587.97745,"empirical: 64 beams, 4 obs",64,4,195
587.97745,587.97755,"empirical: 64 beams, 3 obs",64,3,86
587.97755,587.97765,"empirical: 64 beams, 3 obs",64,3,135
587.97825,587.97835,"empirical: 64 beams, 3 obs",64,3,192
587.98005,587.98015,"empirical: 64 beams, 4 obs",64,4,196
587.98015,587.98025,"empirical: 64 beams, 3 obs",64,3,129
587.98025,587.98035,"empirical: 64 beams, 7 obs",64,7,328
587.98035,587.98045,"empirical: 64 beams, 5 obs",64,5,184
