f_lo_mhz,f_hi_mhz,label,n_beams,n_obs,n_hits
623.98095,623.98105,"empirical: 63 beams, 4 obs",63,4,127
623.98435,623.98445,"empirical: 64 beams, 7 obs",64,7,387
623.98445,623.98455,"empirical: 64 beams, 3 obs",64,3,192
623.98455,623.98465,"empirical: 64 beams, 6 obs",64,6,313
623.98465,623.98475,"empirical: 64 beams, 8 obs",64,8,449
623.98475,623.98485,"empirical: 64 beams, 6 obs",64,6,262
623.98505,623.98515,"empirical: 64 beams, 3 obs",64,3,130
623.98515,623.98525,"empirical: 64 beams, 3 obs",64,3,192
623.98565,623.98575,"empirical: 64 beams, 3 obs",64,3,167
623.98645,623.98655,"empirical: 64 beams, 3 obs",64,3,75
623.98845,623.98855,"empirical: 64 beams, 4 obs",64,4,75
623.99275,623.99285,"empirical: 64 beams, 5 obs",64,5,318
623.99285,623.99295,"empirical: 64 beams, 8 obs",64,8,463
623.99295,623.99305,"empirical: 64 beams, 7 obs",64,7,448
623.99305,623.99315,"empirical: 64 beams, 4 obs",64,4,255
623.99315,623.99325,"empirical: 64 beams, 3 obs",64,3,192
623.99325,623.99335,"empirical: 64 beams, 3 obs",64,3,192
623.99925,623.99935,"empirical: 64 beams, 4 obs",64,4,256
623.99935,623.99945,"empirical: 64 beams, 3 obs",64,3,190
623.99945,623.99955,"empirical: 64 beams, 4 obs",64,4,193
623.99975,623.99985,"empirical: 64 beams, 5 obs",64,5,231
624.00005,624.00015,"empirical: 64 beams, 3 obs",64,3,192
624.00175,624.00185,"empirical: 64 beams, 4 obs",64,4,256
624.04545,624.04555,"empirical: 39 beams, 3 obs",39,3,51
624.04865,624.04875,"empirical: 64 beams, 4 obs",64,4,99
624.04885,624.04895,"empirical: 64 beams, 3 obs",64,3,178
624.99455,624.99465,"empirical: 64 beams, 3 obs",64,3,192
624.99465,624.99475,"empirical: 64 beams, 3 obs",64,3,192
624.99555,624.99565,"empirical: 64 beams, 4 obs",64,4,252
624.99565,624.99575,"empirical: 64 beams, 3 obs",64,3,192
624.99595,624.99605,"empirical: 64 beams, 3 obs",64,3,192
624.99745,624.99755,"empirical: 64 beams, 3 obs",64,3,192
624.99825,624.99835,"empirical: 64 beams, 4 obs",64,4,256
625.00075,625.00085,"empirical: 64 beams, 3 obs",64,3,192
625.00215,625.00225,"empirical: 64 beams, 5 obs",64,5,320
625.02075,625.02085,"empirical: 64 beams, 3 obs",64,3,158
625.02085,625.02095,"empirical: 64 beams, 3 obs",64,3,180
625.02095,625.02105,"empirical: 64 beams, 4 obs",64,4,235
625.02115,625.02125,"empirical: 64 beams, 5 obs",64,5,301
625.02125,625.02135,"empirical: 64 beams, 7 obs",64,7,368
625.02135,625.02145,"empirical: 64 beams, 6 obs",64,6,333
625.02195,625.02205,"empirical: 64 beams, 6 obs",64,6,236
625.02815,625.02825,"empirical: 64 beams, 3 obs",64,3,185
625.02825,625.02835,"empirical: 64 beams, 4 obs",64,4,230
625.02835,625.02845,"empirical: 64 beams, 11 obs",64,11,521
625.02845,625.02855,"empirical: 64 beams, 15 obs",64,15,816
625.02855,625.02865,"empirical: 64 beams, 6 obs",64,6,313
625.02865,625.02875,"empirical: 64 beams, 3 obs",64,3,179
629.98655,629.98665,"empirical: 64 beams, 3 obs",64,3,116
629.98845,629.98855,"empirical: 64 beams, 4 obs",64,4,237
629.98945,629.98955,"empirical: 64 beams, 3 obs",64,3,120
631.24815,631.24825,"empirical: 64 beams, 14 obs",64,14,414
635.99325,635.99335,"empirical: 64 beams, 3 obs",64,3,131
638.82175,638.82185,"empirical: 64 beams, 3 obs",64,3,127
638.82195,638.82205,"empirical: 62 beams, 3 obs",62,3,88
638.82205,638.82215,"empirical: 64 beams, 3 obs",64,3,125
639.24995,639.25005,"empirical: 64 beams, 3 obs",64,3,122
639.27585,639.27595,"empirical: 64 beams, 17 obs",64,17,315
640.03545,640.03555,"empirical: 34 beams, 4 obs",34,4,38
640.05305,640.05315,"empirical: 64 beams, 3 obs",64,3,132
644.30575,644.30585,"empirical: 59 beams, 3 obs",59,3,73
644.30655,644.30665,"empirical: 64 beams, 3 obs",64,3,84
644.30675,644.30685,"empirical: 64 beams, 3 obs",64,3,185
644.30685,644.30695,"empirical: 64 beams, 4 obs",64,4,193
644.30705,644.30715,"empirical: 64 beams, 5 obs",64,5,232
644.30725,644.30735,"empirical: 64 beams, 5 obs",64,5,319
