cluster,n,frac_rfi_label,frac_confined,median_freq_mhz,freq_span_mhz,median_snr,median_abs_drift,median_bandwidth_hz,median_n_beams,n_obs
1261,2721,0.7331863285556781,0.09408305769937524,857.7953488081694,2156.0820364970714,52.58932,0.0,7.092952728271484,62.0,229
1246,2690,0.7420074349442379,0.0862453531598513,872.0096776485443,2156.0820364970714,49.575272,0.0,7.972121238708496,62.0,235
1447,2501,0.7516993202718912,0.07516993202718912,657.5621999502182,2156.0820364970714,28.996222,0.0,7.972121238708496,61.0,243
1442,2488,0.7383440514469454,0.08963022508038586,671.9832798540592,2156.0820364970714,51.072716,0.0,7.092952728271484,62.0,225
502,2466,0.5170316301703163,0.23479318734793186,934.5894103348255,2281.0957731809467,18.233490000000003,0.06052830194730198,11.160969734191895,35.0,379
791,2456,0.505700325732899,0.252442996742671,927.9929575398564,2280.959322804585,18.384022,0.05989283143511178,11.160969734191895,32.0,390
162,2447,0.4993870044953004,0.24560686554965264,934.7525582015514,2281.093411579728,18.004694,0.06052830194730198,11.160969734191895,31.0,383
579,2445,0.5132924335378323,0.24785276073619633,931.9845723360777,2281.0499727670103,18.365776,0.05989283143511178,11.160969734191895,34.0,381
834,2444,0.48404255319148937,0.24099836333878888,934.7647029310465,2281.0597467646003,18.4647225,0.0615045648819359,11.160969734191895,28.0,377
468,2443,0.5096193205075726,0.23577568563241916,925.3297628164291,2281.027033926919,17.897516,0.06052830194730198,12.159347534179688,33.0,383
1063,2443,0.5022513303315596,0.2468276708964388,934.7317732870579,2281.0836997572333,18.69208,0.06111513411746101,11.408701539039612,32.0,378
1121,2443,0.49979533360622186,0.23823168235775685,934.7647284418344,2281.059736266732,18.746641,0.0615045648819359,11.408701539039612,31.0,379
957,2442,0.5118755118755118,0.2362817362817363,928.4769139289856,2281.072238659486,18.2532395,0.0615045648819359,11.160969734191895,34.0,383
357,2439,0.4924149241492415,0.25174251742517423,934.7317286431789,2281.0486962590367,18.65047,0.06052830194730198,12.159347534179688,30.0,377
1145,2438,0.5,0.2534864643150123,928.42916251719,2281.0668883863837,18.016362,0.0615045648819359,11.160969734191895,31.0,380
252,2435,0.500205338809035,0.23819301848049282,927.994744092226,2281.0309871640056,18.341068,0.0615045648819359,11.160969734191895,32.0,387
1356,2435,0.7490759753593429,0.08172484599589322,659.9842558503151,2156.0820364970714,47.833324,0.0,7.972121238708496,62.0,228
244,2434,0.5073952341824157,0.2485620377978636,934.7317509651184,2281.0616059917957,17.9088825,0.06052830194730198,11.160969734191895,32.5,388
170,2434,0.528759244042728,0.23089564502875926,925.0034280195832,2281.08308368735,18.936391999999998,0.05989283143511178,11.160969734191895,37.0,384
363,2433,0.4923962186600904,0.24702013974517056,934.7317621260881,2281.032636526972,18.971972,0.06052830194730198,11.160969734191895,30.0,372
34,2433,0.4882860665844636,0.260583641594739,934.7768556326628,2281.0577779486775,18.016754,0.06557232710957715,11.160969734191895,28.0,384
1011,2432,0.5082236842105263,0.23231907894736842,930.2254584133625,2281.0438447277993,18.632702000000002,0.06021056669120688,11.160969734191895,33.5,375
481,2432,0.5061677631578947,0.24671052631578946,925.1619632169604,2281.064836449921,17.314743999999997,0.05989283143511178,11.160969734191895,33.0,382
1133,2431,0.4985602632661456,0.24845742492801318,934.7317190766335,2231.0392658729106,18.051268,0.0615045648819359,11.408701539039612,31.0,368
122,2431,0.5039078568490333,0.2505141916906623,934.7647300362587,2281.061051150784,18.560127,0.06052830194730198,11.160969734191895,32.0,373
860,2430,0.5041152263374485,0.23497942386831275,934.7300154343247,2281.0668883863837,18.8762605,0.0615045648819359,12.159347534179688,32.5,384
206,2428,0.5131795716639209,0.22940691927512355,934.5762419849634,2281.042972777039,17.7048865,0.06052830194730198,11.160969734191895,35.0,385
416,2428,0.5049423393739704,0.23187808896210874,924.997840359807,2281.049281710759,18.071396,0.05989283143511178,11.160969734191895,33.0,383
612,2428,0.5275947281713345,0.24093904448105435,925.1983192786574,2281.058536240831,17.64177,0.06052830194730198,12.159347534179688,37.0,390
568,2427,0.5072105480016481,0.25092707045735474,934.7317685037851,2281.0609822478145,17.31773,0.06052830194730198,11.160969734191895,33.0,382
832,2426,0.5065952184666117,0.263396537510305,934.7439467161894,2281.051023537293,17.8062945,0.0615045648819359,11.160969734191895,33.0,379
609,2425,0.5179381443298969,0.24618556701030928,929.992812782526,2281.0566359832883,19.16818,0.05989283143511178,11.160969734191895,36.0,373
127,2425,0.5068041237113402,0.2404123711340206,934.5666945725679,2281.0595805868506,19.10386,0.06111513411746101,11.160969734191895,33.0,378
1005,2423,0.48823772183243913,0.247214197276104,934.7525582015514,2281.0424640625715,18.334303,0.0631523052547097,11.160969734191895,28.0,384
642,2423,0.5010317787866282,0.23895996698307884,934.7474082112312,2281.0431682914495,18.83,0.0615045648819359,11.160969734191895,32.0,386
1048,2423,0.5121749896822121,0.22699133305819233,934.5666866004467,2281.0510694067925,18.091719,0.05989283143511178,11.408701539039612,33.0,387
561,2423,0.5092860090796533,0.23400742880726372,934.5670692622662,2281.056823439896,17.551838,0.0615045648819359,11.408701539039612,34.0,382
506,2423,0.507222451506397,0.23978539001238133,928.0914778113365,2281.0595805868506,17.623405,0.06052830194730198,11.160969734191895,33.0,388
483,2423,0.516714816343376,0.24762690879075527,934.7317286431789,2281.0935585051775,18.112865,0.05989283143511178,11.160969734191895,34.0,383
227,2422,0.49752270850536745,0.24566473988439305,934.6585756614804,2281.0620269384235,17.617979,0.0615045648819359,11.160969734191895,31.0,384
979,2422,0.5255986787778695,0.23038810900082576,925.0035659372807,2281.0349364895374,18.245323999999997,0.05989283143511178,11.408701539039612,37.0,379
