cluster,n,frac_rfi_label,frac_confined,median_freq_mhz,freq_span_mhz,median_snr,median_abs_drift,median_bandwidth_hz,median_n_beams,n_obs
100000,80421,0.2051205530893672,0.4978550378632447,950.3316982537508,106.03640173375607,16.020077,0.14351065139118374,11.160969734191895,3.0,143
100001,77077,0.21561555327789095,0.4838278604512371,950.3178682178259,106.51509891450405,15.616693,0.13325989057752777,11.160969734191895,3.0,143
100005,48797,0.22204233866836076,0.4787794331618747,950.3110153824091,106.68441879749298,15.142451,0.13325989057752777,11.160969734191895,3.0,143
100002,41598,0.2187124380979855,0.4853117938362421,950.3178666234016,105.80409571528435,15.6006185,0.13325989057752777,11.160969734191895,3.0,143
100003,31467,0.2202942765436807,0.4873677185623034,950.3074677884579,106.74740014970303,15.085264,0.14351065139118374,9.566545486450195,3.0,143
100004,30377,0.24725943970767356,0.4489910129374198,935.0633003264666,106.74740174412727,14.314021,0.1230091297638718,9.566545486450195,3.0,143
100006,28977,0.209545501604721,0.5011905994409359,950.3317110091448,104.56663754582405,15.773549,0.14351065139118374,11.160969734191895,2.0,143
100007,15115,0.22924247436321535,0.473172345352299,950.2953358143568,104.56663435697556,15.117083,0.13325989057752777,11.160969734191895,3.0,143
100008,8546,0.20828457758015445,0.4948513924643108,950.3368450552225,105.96369758248329,16.0624265,0.14351065139118374,11.160969734191895,3.0,143
100015,2594,0.15805705474171164,0.5547417116422514,950.40632288903,103.24790678918362,16.352033,0.15376141220483974,11.160969734191895,2.0,137
100012,2582,0.1653756777691712,0.52285050348567,950.3646717444062,103.81036545336246,16.742655499999998,0.15376141220483974,11.160969734191895,2.0,141
100017,2525,0.1611881188118812,0.5508910891089109,950.3837306946516,104.0152266472578,16.95091,0.15376141220483974,11.160969734191895,2.0,137
100019,2480,0.1596774193548387,0.555241935483871,950.3490352258086,99.8809722661972,16.139742,0.15376141220483974,11.160969734191895,2.0,139
100009,275,0.5636363636363636,0.03272727272727273,933.1371003091335,96.12736754119396,9.057529,0.0,6.377696990966797,39.0,20
200001,254,0.8385826771653543,0.015748031496062992,934.6256515979767,8.890299141407013,22.2683515,0.0,9.566545486450195,62.0,9
300000,186,0.23118279569892472,0.43010752688172044,934.8054508343339,104.43408827483654,14.5504795,0.3075228244096795,14.349818229675293,3.0,62
200002,79,0.0,0.6582278481012658,934.8011466860771,0.13350751996040344,13.131611,0.0,9.566545486450195,1.0,9
200018,58,0.3103448275862069,0.017241379310344827,935.5191159248352,0.41716834902763367,151.96284500000002,0.0,6.377696990966797,15.0,9
200019,46,0.0,0.15217391304347827,909.3104628175497,58.70409870147705,95.17772,0.4202811933598953,12.755393981933594,16.0,1
200000,45,1.0,0.0,959.9517558068037,0.0,20.051516,0.0615045648819359,17.53866672515869,64.0,1
200012,33,1.0,0.0,959.9960808008909,0.0,36.299004,0.4202811933598953,43.04945468902588,44.0,1
200022,32,0.0,0.125,959.9995614290237,0.0006313920021057129,6.5716470000000005,0.15376141220483974,11.160969734191895,25.0,2
100010,31,0.5483870967741935,0.03225806451612903,909.3102619200945,89.73594255745411,51.851704,0.1230091297638718,25.510787963867188,35.0,13
100013,28,0.7857142857142857,0.0,874.9984203204513,89.80417275428772,493.268965,0.07175532569559187,17.53866672515869,64.0,16
200011,24,0.7083333333333334,0.0,959.9946713298559,0.0008992552757263184,17.5242055,0.4202811933598953,19.13309097290039,45.0,2
100011,24,0.9166666666666666,0.0,959.9892542734742,85.01271583139896,37.727281000000005,0.07175532569559187,14.349818229675293,63.5,17
200020,24,0.0,0.041666666666666664,874.9931180626154,1.5944242477416992e-06,176.156225,0.4202811933598953,15.944242477416992,23.0,1
200060,24,0.7083333333333334,0.0,874.9918329566717,0.0036384761333465576,2227.7134,0.33314972644381946,44.64387893676758,54.0,1
200042,23,0.9565217391304348,0.043478260869565216,958.2069964855909,1.5944242477416992e-06,88.237305,0.03075228244096795,9.566545486450195,41.0,1
100014,20,0.9,0.0,959.9891028031707,85.01309052109718,9.48628,0.05125380406827991,11.958181858062744,60.5,14
100016,17,0.7058823529411765,0.0,959.9763577729464,90.00480553507805,13.928799,0.0615045648819359,12.755393981933594,53.0,11
200058,15,0.26666666666666666,0.0,870.2691483348608,39.111528143286705,2582.9973,0.3075228244096795,36.67175769805908,11.0,2
300001,15,0.4666666666666667,0.0,935.7269842028618,1.0350842773914337,199.53625,0.0,4.783272743225098,17.0,6
200016,14,0.35714285714285715,0.07142857142857142,935.7281002998352,0.4183003902435303,233.83299499999998,0.0,7.972121238708496,30.0,4
200047,14,0.21428571428571427,0.14285714285714285,879.993500366807,39.1115648150444,26.804177,0.3587766284779594,8.769333362579346,21.0,7
200045,14,0.7857142857142857,0.0,959.9928855746984,0.009099379181861877,140.7403,0.3075228244096795,35.87454557418823,45.0,3
200033,13,0.0,0.3076923076923077,951.6156530231237,8.272810518741608,18.627626,0.1127583689502158,1.5944242477416992,5.0,4
200039,13,0.0,0.9230769230769231,867.8792785853148,80.0459615290165,8.425847,0.20501521627311964,35.07733345031738,1.0,4
200009,12,0.0,0.0,872.1995624154806,32.216306552290916,29.529466499999998,0.4202811933598953,44.64387893676758,6.5,1
200053,12,0.6666666666666666,0.08333333333333333,879.994002610445,16.924060821533203,53.4724825,0.26651978115505554,35.07733345031738,63.0,4
100018,12,0.16666666666666666,0.08333333333333333,870.2323593869805,39.299564972519875,48.101310999999995,0.3485258676643034,22.32193946838379,25.5,3
200008,11,0.0,0.0,886.4661548882723,43.78262038528919,10.074739,0.4202811933598953,20.72751522064209,18.0,3
200068,11,0.2727272727272727,0.0,959.9942440241575,16.001577973365784,35.647263,0.07175532569559187,19.13309097290039,17.0,9
200063,11,0.9090909090909091,0.0,959.9995056241751,0.048526301980018616,15.69652,0.15376141220483974,20.72751522064209,60.0,7
200017,10,0.6,0.0,936.1417003273964,0.4140847325325012,319.00515,0.0,6.377696990966797,48.0,1
200037,10,0.4,0.4,925.083932094276,81.15523436665535,8.5513385,0.25626902034139953,16.741454601287842,25.5,9
200066,9,0.8888888888888888,0.0,959.9896488934755,0.01411224901676178,7.467078,0.03075228244096795,9.566545486450195,58.0,4
200035,9,0.0,0.1111111111111111,879.9955428242683,1.5944242477416992e-06,61.07533,0.39977967173258333,35.07733345031738,9.0,1
200043,9,0.0,0.7777777777777778,951.6206754595041,24.960722759366035,9.165481,0.20501521627311964,33.482909202575684,1.0,8
200030,9,0.0,0.8888888888888888,934.8097677379847,34.70360518991947,8.031787,0.21526597708677564,1.5944242477416992,1.0,9
200015,9,0.0,0.7777777777777778,951.6780412495136,0.29910920560359955,19.468973,0.4202811933598953,44.64387893676758,2.0,3
200007,9,0.0,0.8888888888888888,951.5862183570862,16.871771678328514,52.50726,0.4202811933598953,41.45503044128418,1.0,6
200074,9,0.2222222222222222,0.4444444444444444,904.1367219537497,71.91221190989017,10.377701,0.1230091297638718,22.32193946838379,3.0,3
200077,9,0.7777777777777778,0.0,888.0010624676943,24.00002793967724,16.729372,0.1230091297638718,19.13309097290039,34.0,1
200072,8,0.5,0.0,944.0936752185225,93.1003180295229,92.721205,0.04100304325462393,19.93030309677124,29.0,7
200056,8,1.0,0.0,874.9877910912037,0.003906339406967163,875.2599,0.10250760813655982,19.13309097290039,64.0,2
200048,8,0.0,1.0,934.7933045104146,63.571158438920975,7.2030878000000005,0.12813451017069977,7.972121238708496,1.0,7
200005,8,0.0,1.0,947.5500130951405,0.030003875494003296,127.884138,0.2716451615618835,44.64387893676758,1.0,1
200036,8,0.0,0.625,925.1801133453846,60.68492050468922,8.295434499999999,0.08200608650924786,39.06339406967163,1.0,4
200024,8,0.0,0.75,950.4444288313389,25.0900911539793,26.550039500000004,0.39977967173258333,1.5944242477416992,1.0,8
200040,8,0.0,1.0,867.8789437562227,79.9163316488266,16.379202,0.3485258676643034,31.091272830963135,1.0,3
200055,7,0.14285714285714285,0.0,935.7416991442442,0.4655001312494278,471.3235,0.010250760813655982,12.755393981933594,30.0,3
200052,7,0.8571428571428571,0.0,959.9928361475468,0.0,18.681622,0.1230091297638718,23.91636371612549,35.0,1
200004,7,0.0,0.0,951.2167918533087,0.03294399380683899,316.1641,0.0615045648819359,4.783272743225098,8.0,1
200013,7,0.0,0.5714285714285714,872.1995624154806,40.13766770064831,8.945014,0.4202811933598953,20.72751522064209,2.0,4
200073,7,0.42857142857142855,0.14285714285714285,912.0899476706982,64.09876617789268,83.711624,0.04100304325462393,20.72751522064209,26.0,3
200081,6,1.0,0.0,911.9902658611536,48.023009210824966,13.365739999999999,0.04100304325462393,10.363757610321045,64.0,1
200079,6,0.16666666666666666,0.0,877.5428176820278,38.75500850379467,18.436208,0.3587766284779594,11.958181858062744,20.5,3
200078,6,1.0,0.0,875.9730432331562,24.023265078663826,21.584319,0.04100304325462393,11.160969734191895,64.0,1
200069,6,0.0,0.8333333333333334,951.2035852372646,7.535046502947807,7.32460775,0.07688070610241987,6.377696990966797,1.0,3
200054,6,0.0,0.3333333333333333,895.9880054742098,36.008153542876244,13.4458065,0.3023974440028515,35.07733345031738,6.5,2
200051,6,0.6666666666666666,0.0,959.9928361475468,0.0,18.442449,0.1230091297638718,22.32193946838379,35.0,1
200031,6,0.0,0.5,921.3324033096433,84.87318457663059,6.557575399999999,0.21526597708677564,3.1888484954833984,9.5,6
200028,6,0.0,0.16666666666666666,959.9951369017363,4.783272743225098e-06,15.552700999999999,0.4049050521394113,18.33587884902954,9.0,1
200062,6,0.6666666666666666,0.0,879.9934349954128,1.5944242477416992e-06,29.148165499999998,0.2255167379004316,35.87454557418823,36.0,1
200034,6,0.0,0.0,880.8792110085487,1.5944242477416992e-06,142.686525,0.3075228244096795,25.510787963867188,26.0,1
200082,5,0.2,0.0,888.00106087327,47.99718591570854,6.936236,0.09225684732290385,15.944242477416992,26.0,1
200014,5,0.0,1.0,951.6780412495136,8.163595646619797,38.646244,0.4202811933598953,43.04945468902588,1.0,4
200010,5,0.0,1.0,951.5930919200182,0.208984375,63.749344,0.4202811933598953,46.23830318450928,1.0,1
200065,5,0.0,0.2,959.9960999339819,0.001489192247390747,31.45044,0.3075228244096795,15.944242477416992,14.0,2
200070,5,1.0,0.0,949.9907338172197,15.896145075559616,86.88819,0.05125380406827991,12.755393981933594,64.0,3
200080,5,0.4,0.2,864.0862708538771,32.00314000248909,20.176434,0.09225684732290385,17.53866672515869,16.0,3
200041,5,0.8,0.0,879.9982900172472,69.99209940433502,89.08574,0.26651978115505554,38.26618194580078,36.0,2
200075,5,0.0,0.2,890.219048500061,55.63752819597721,9.845959,0.10250760813655982,17.53866672515869,10.0,4
200046,5,0.4,0.0,887.9778109788895,50.022822201251984,35.38961,0.16401217301849572,23.91636371612549,23.0,4
100020,4,1.0,0.0,875.9679841250181,24.01965370774269,33.3262415,0.09225684732290385,21.52472734451294,48.0,2
200006,4,0.0,1.0,868.183945953846,0.012002825736999512,145.19583,0.1845136946458077,9.566545486450195,1.0,1
200003,4,0.5,0.0,935.1086154580116,0.0,38.76778,0.0,4.783272743225098,47.5,3
200023,4,1.0,0.0,873.58258035779,0.0,19.839836,0.32802434603699143,47.03551530838013,42.0,1
200027,4,0.25,0.75,947.314979813993,34.81507936120033,9.4538705,0.06662994528876388,8.769333362579346,1.5,4
200049,4,0.0,0.5,959.7888877615333,9.51611703634262,20.8661015,0.10250760813655982,3.986060619354248,2.0,4
200050,4,0.0,0.0,959.9934611618519,4.783272743225098e-06,16.4274255,0.2357674987140876,36.67175769805908,11.0,1
200038,4,1.0,0.0,959.9840349256992,0.0,32.539155,0.1230091297638718,19.93030309677124,64.0,1
200044,4,0.0,0.5,951.6226047128439,8.158609881997108,18.727574,0.14863603179801174,42.25224256515503,3.0,4
200021,4,1.0,0.0,874.9954156279564,0.002681821584701538,528.633635,0.15888679261166772,24.713575839996338,64.0,3
200026,4,0.25,0.0,899.670525982976,34.31344798207283,226.86039499999998,0.3690273892916154,18.33587884902954,18.0,2
200032,4,0.0,0.75,950.9094777405262,1.1164174526929855,8.10797,0.1127583689502158,1.5944242477416992,2.0,3
200029,4,0.0,0.75,934.827172473073,15.530578672885895,12.5510545,0.3023974440028515,1.5944242477416992,1.0,4
200025,4,0.0,0.0,909.3432314246893,0.0,2573.58945,0.3485258676643034,14.349818229675293,14.0,1
200067,4,0.75,0.0,959.9989746809006,0.020289048552513123,12.654597500000001,0.03075228244096795,14.349818229675293,62.5,3
200061,4,0.0,0.5,889.7645467072725,53.90631829202175,95.35963000000001,0.3844035305120993,12.755393981933594,3.0,3
200059,4,1.0,0.0,874.9911553263664,0.0001849532127380371,1146.8402,0.10250760813655982,19.13309097290039,62.0,2
200057,4,0.0,0.0,884.9175926595926,39.18515387177467,377.220275,0.3587766284779594,29.496848583221436,22.0,1
200064,4,0.25,0.0,934.8858903348446,45.58288799226284,10.823306,0.37927815010527133,19.13309097290039,10.0,3
200076,4,0.0,0.25,869.5474943816662,10.956564545631409,8.19142,0.37415276969844335,14.349818229675293,4.5,2
200071,4,0.0,0.25,924.8244371563196,79.81140418350697,121.0565,0.2460182595277436,36.67175769805908,7.0,1
