file,row,family,obsid,sourceName,frequency,driftRate,snr,n_beams
lband_short,456866,16,MeerKAT:array_1:20250712T010545Z,Gaia_4216985571974571904,874.9938164204359,0.020501521627311965,42.450428,64
lband_short,45198,16,MeerKAT:array_1:20250731T150301Z,Gaia_1315522030063276928,887.9653776586056,0.05125380406827991,42.449978,56
lband_short,466584,16,MeerKAT:array_1:20250719T033518Z,Gaia_2311990344364857984,887.9898648262024,-0.020501521627311965,42.44551,64
lband_short,10358,14,MeerKAT:array_1:20250731T051744Z,Gaia_2546787930036759936,863.979873329401,-0.19476445545946366,42.44087,56
lband_short,8864,14,MeerKAT:array_1:20250731T004101Z,Gaia_2546787861317282688,863.9563093334436,-0.1127583689502158,42.438828,43
lband_short,467586,16,MeerKAT:array_1:20250731T021904Z,ex_SDSS_J002133.91+000745.3,887.989810615778,-0.020501521627311965,42.432407,64
lband_short,8670,16,MeerKAT:array_1:20250731T004101Z,ex_SDSS_J002111.97+001412.8,863.9903662353754,-0.04100304325462393,42.43104,64
lband_short,8630,16,MeerKAT:array_1:20250731T004101Z,ex_SDSS_J002237.90+000519.0,863.9903662353754,-0.04100304325462393,42.430847,64
lband_short,16188,16,MeerKAT:array_1:20250706T093833Z,Gaia_4802443490482965376,874.9930096417665,-0.08200608650924786,42.426147,64
lband_short,466654,16,MeerKAT:array_1:20250719T033518Z,Gaia_2311823630914861952,887.9898648262024,-0.020501521627311965,42.421738,64
lband_short,543236,16,MeerKAT:array_1:20250701T144521Z,Gaia_3607210545055210240,924.9907308220863,-0.010250760813655982,42.42129,64
lband_short,45246,16,MeerKAT:array_1:20250731T150301Z,Gaia_1315323465135660416,887.9653776586056,0.05125380406827991,42.411793,56
lband_short,36131,16,MeerKAT:array_1:20250701T202312Z,Gaia_1315919778394385280,887.9908071309328,-0.03075228244096795,42.41092,64
lband_short,35854,16,MeerKAT:array_1:20250701T195047Z,Gaia_1315327519584774016,887.9908980131149,-0.07175532569559187,42.41083,64
lband_short,102961,16,MeerKAT:array_1:20250711T082812Z,Gaia_4790683182831447936,925.0034288167953,-0.07175532569559187,42.409943,59
lband_short,455558,16,MeerKAT:array_1:20250711T092345Z,Gaia_4790678441187588352,872.4540420919657,0.010250760813655982,42.408398,64
lband_short,102947,16,MeerKAT:array_1:20250711T082812Z,Gaia_4790693731271138944,925.0034288167953,-0.07175532569559187,42.40507,59
lband_short,12137,18,MeerKAT:array_1:20250701T080259Z,Gaia_2536506843481180800,874.9920370429754,-0.13325989057752777,42.400795,64
lband_short,45345,16,MeerKAT:array_1:20250731T150301Z,Gaia_1315510038514578560,887.9653776586056,0.05125380406827991,42.38896,56
lband_short,9671,14,MeerKAT:array_1:20250731T025147Z,ex_LEDA_1154760,863.9784925580025,-0.08200608650924786,42.384605,64
lband_short,8800,16,MeerKAT:array_1:20250731T004101Z,Gaia_2542279451326855040,863.9563093334436,-0.1127583689502158,42.383545,43
lband_short,42239,16,MeerKAT:array_1:20250716T163236Z,Gaia_3966779228481493504,887.9796764552593,-0.05125380406827991,42.382774,63
lband_short,63856,14,MeerKAT:array_1:20250701T065749Z,Gaia_2536432523367098752,924.9920733273029,-0.07175532569559187,42.38085,64
lband_short,455537,16,MeerKAT:array_1:20250711T092345Z,Gaia_4790678441187588096,872.4540420919657,0.010250760813655982,42.380375,64
lband_short,28454,16,MeerKAT:array_1:20250711T113506Z,ex_LEDA_545342,872.0091498941183,-0.03075228244096795,42.3765,64
lband_short,119773,13,MeerKAT:array_1:20250713T095528Z,Gaia_5096077794485729408,924.9910672456026,-0.21526597708677564,42.376102,51
lband_short,37467,16,MeerKAT:array_1:20250702T225528Z,Gaia_6891278432342115200,887.9904531687498,-0.04100304325462393,42.37559,54
lband_short,103748,14,MeerKAT:array_1:20250711T085603Z,ex_LEDA_548874,925.0032869130373,-0.09225684732290385,42.37359,56
lband_short,8861,16,MeerKAT:array_1:20250731T004101Z,Gaia_2546796623050596480,863.9903662353754,-0.04100304325462393,42.371983,64
lband_short,42154,16,MeerKAT:array_1:20250716T163236Z,Gaia_3966681337586911488,887.9571025967598,-0.08200608650924786,42.371693,41
lband_short,20092,13,MeerKAT:array_1:20250708T104320Z,Gaia_2973741076925583360,874.9930048584938,-0.15376141220483974,42.36897,64
lband_short,32343,16,MeerKAT:array_1:20250719T110629Z,Gaia_2992935079615609216,869.3165324628353,-0.13325989057752777,42.367306,20
lband_short,486605,16,MeerKAT:array_1:20250731T171238Z,Gaia_1315592811124377472,919.7942215800285,0.020501521627311965,42.365177,64
lband_short,107602,13,MeerKAT:array_1:20250711T113506Z,Gaia_4814727715424417536,924.9954407513142,-0.1845136946458077,42.362236,62
lband_short,132059,13,MeerKAT:array_1:20250720T075528Z,ex_LEDA_876058,924.9917321205139,-0.15376141220483974,42.356117,64
lband_short,29846,13,MeerKAT:array_1:20250713T073717Z,Gaia_5096284674470775936,874.9929857254028,-0.26651978115505554,42.355656,64
lband_short,38501,16,MeerKAT:array_1:20250703T011955Z,Gaia_6891324130794176256,887.9784822314978,-0.03075228244096795,42.35542,64
lband_short,103847,14,MeerKAT:array_1:20250711T085603Z,Gaia_4814660262961717632,925.0032869130373,-0.09225684732290385,42.35063,56
lband_short,444309,16,MeerKAT:array_1:20250719T033518Z,ex_2dFGRS_TGS543Z011,863.9642113000154,-0.020501521627311965,42.345203,58
lband_short,461338,16,MeerKAT:array_1:20250708T190600Z,ex_ASASSN-V_J191035.03-202741.3,887.9903734475374,-0.010250760813655982,42.33463,62
lband_short,107764,13,MeerKAT:array_1:20250711T113506Z,Gaia_4814711458972055680,924.9954407513142,-0.1845136946458077,42.333565,62
lband_short,464713,16,MeerKAT:array_1:20250719T011200Z,Gaia_2311923141012354048,887.9780389815569,0.020501521627311965,42.331486,64
lband_short,32244,13,MeerKAT:array_1:20250713T120523Z,Gaia_5096069548148530944,875.0006278008223,-0.2357674987140876,42.32651,64
lband_short,121987,14,MeerKAT:array_1:20250713T111016Z,Gaia_5096067864521319936,929.9929116368294,-0.1742629338321517,42.325047,62
lband_short,12307,14,MeerKAT:array_1:20250701T080259Z,Gaia_2536470761460659712,874.9920370429754,-0.13325989057752777,42.320526,64
lband_short,45337,16,MeerKAT:array_1:20250731T150301Z,Gaia_1315521067990595072,887.9653776586056,0.05125380406827991,42.318428,56
lband_short,36286,16,MeerKAT:array_1:20250701T205536Z,Gaia_1315967572790460160,887.9907545149326,-0.03075228244096795,42.31586,64
lband_short,465644,16,MeerKAT:array_1:20250719T023034Z,ex_2dFGRS_TGS543Z027,887.9898951202631,-0.010250760813655982,42.311024,64
lband_short,36370,16,MeerKAT:array_1:20250701T205536Z,Gaia_1315530242040766976,887.9907545149326,-0.03075228244096795,42.310123,64
lband_short,467625,16,MeerKAT:array_1:20250731T021904Z,ex_SDSS_J002339.35+001442.7,887.989810615778,-0.020501521627311965,42.309685,64
lband_short,32180,18,MeerKAT:array_1:20250713T120523Z,Gaia_5096288935078334720,875.0006278008223,-0.2357674987140876,42.30893,64
lband_short,38359,16,MeerKAT:array_1:20250703T004724Z,Gaia_6891223456760639744,887.9785683304071,-0.03075228244096795,42.30354,64
lband_short,15727,14,MeerKAT:array_1:20250706T074022Z,Gaia_4802464175045512704,874.9940396398306,-0.1230091297638718,42.30001,64
lband_short,543163,16,MeerKAT:array_1:20250701T144521Z,Gaia_3610210455156557184,924.9907308220863,-0.010250760813655982,42.299194,64
lband_short,102903,16,MeerKAT:array_1:20250711T082812Z,Gaia_4790698060598158208,925.0034288167953,-0.07175532569559187,42.294643,59
lband_short,446837,16,MeerKAT:array_1:20250731T030702Z,Gaia_2546856649513462528,863.97847661376,0.010250760813655982,42.294224,61
lband_short,20062,13,MeerKAT:array_1:20250708T104320Z,ex_LEDA_816892,874.9930048584938,-0.15376141220483974,42.29383,64
lband_short,20227,13,MeerKAT:array_1:20250708T104320Z,Gaia_2973619683970334592,874.9930048584938,-0.15376141220483974,42.29263,64
lband_short,103919,14,MeerKAT:array_1:20250711T085603Z,ex_LEDA_549179,928.8997026234865,-0.31777358522333543,42.292576,18
lband_short,444763,16,MeerKAT:array_1:20250719T033518Z,Gaia_2312000519143160064,863.9642113000154,-0.020501521627311965,42.291424,58
lband_short,461334,16,MeerKAT:array_1:20250708T190600Z,ex_ASASSN-V_J191015.91-195617.1,887.9903734475374,-0.010250760813655982,42.287308,62
lband_short,446718,16,MeerKAT:array_1:20250731T030702Z,ex_LEDA_1161460,863.97847661376,0.010250760813655982,42.286137,61
lband_short,38521,16,MeerKAT:array_1:20250703T011955Z,Gaia_6891290973646559104,887.9784822314978,-0.03075228244096795,42.286133,64
lband_short,7779,16,MeerKAT:array_1:20250719T030257Z,ex_LEDA_656387,863.9844126552343,0.03075228244096795,42.283615,25
lband_short,444283,16,MeerKAT:array_1:20250719T033518Z,ex_2dFGRS_TGS543Z030,863.9642113000154,-0.020501521627311965,42.275288,58
lband_short,17632,16,MeerKAT:array_1:20250706T145226Z,Gaia_4802459910141078912,871.6117970496416,-0.07175532569559187,42.274124,64
lband_short,20107,13,MeerKAT:array_1:20250708T104320Z,Gaia_2973735888605109888,874.9930048584938,-0.15376141220483974,42.27357,64
lband_short,36318,16,MeerKAT:array_1:20250701T205536Z,Gaia_1315534502648337792,887.9907545149326,-0.03075228244096795,42.27055,64
lband_short,32448,16,MeerKAT:array_1:20250719T110629Z,Gaia_2992938378150518272,872.1317961961031,-0.03075228244096795,42.27005,64
lband_short,20164,13,MeerKAT:array_1:20250708T104320Z,Gaia_2973731108305927040,874.9930048584938,-0.15376141220483974,42.26778,64
lband_short,467643,16,MeerKAT:array_1:20250731T021904Z,ex_SDSS_J002111.97+001412.8,887.989810615778,-0.020501521627311965,42.26565,64
lband_short,825908,16,MeerKAT:array_1:20250706T084548Z,Gaia_4802461941662531968,934.5303177833557,0.020501521627311965,42.260254,2
lband_short,80467,16,MeerKAT:array_1:20250706T101122Z,Gaia_4802509736058486656,925.0034989714622,-0.03075228244096795,42.259483,59
lband_short,27828,16,MeerKAT:array_1:20250711T103939Z,Gaia_4814715723875765504,872.0093029588461,-0.04100304325462393,42.258984,64
lband_short,467629,16,MeerKAT:array_1:20250731T021904Z,ex_[VV2006]_J002342.4+002041,887.989810615778,-0.020501521627311965,42.255283,64
lband_short,466332,16,MeerKAT:array_1:20250719T033518Z,ex_2dFGRS_TGS543Z011,887.9898648262024,-0.020501521627311965,42.255245,64
lband_short,103782,16,MeerKAT:array_1:20250711T085603Z,ex_LEDA_543563,925.003285318613,-0.07175532569559187,42.25456,8
lband_short,447498,16,MeerKAT:array_1:20250731T041226Z,ex_SDSS_J002155.52+001434.3,863.9899947345257,-0.010250760813655982,42.253616,64
lband_short,435279,16,MeerKAT:array_1:20250702T232759Z,Gaia_6891253830769414528,863.9906627982855,-0.010250760813655982,42.253216,64
