cluster,n,frac_rfi_label,frac_confined,median_freq_mhz,freq_span_mhz,median_snr,median_abs_drift,median_bandwidth_hz,median_n_beams,n_obs
141,2046,0.0,0.8919843597262952,951.0556633248925,824.9178106039762,15.3780395,0.09079245292095298,15.944242477416992,1.0,88
108,1672,0.0,0.5956937799043063,952.6320147737861,846.6937634050846,18.4583785,0.015132075486825495,14.349818229675293,2.0,89
126,1610,0.0,0.5962732919254659,954.3370195180178,846.6326491236687,19.79595,0.015132075486825495,12.755393981933594,2.0,88
50,1071,0.0,0.5480859010270775,955.690502345562,234.865775719285,103.48556,0.005044025162275165,9.566545486450195,2.0,54
34,1061,0.0,0.5391140433553252,955.8901003450155,97.88765017688274,120.5947,0.005044025162275165,11.160969734191895,2.0,55
75,1035,0.0,0.5410628019323671,955.8261001557112,97.79231476783752,116.7426,0.005044025162275165,9.566545486450195,2.0,47
15,993,0.0,0.5468277945619335,955.8441027998924,25.2829080671072,119.38061,0.005044025162275165,11.160969734191895,2.0,54
94,990,0.0,0.5767676767676768,956.1283527687192,8.799201712012291,127.63142500000001,0.005044025162275165,9.566545486450195,2.0,57
136,565,0.0,0.5876106194690266,953.1204100400209,842.0559340417385,16.338423,0.01008805032455033,12.755393981933594,2.0,78
143,553,0.0,0.7992766726943942,950.4426701813936,845.8161795437336,11.933744,0.07566037743412748,15.944242477416992,1.0,82
80,284,0.0,0.9647887323943662,950.3837179392576,185.96616959571838,16.9112215,0.1160125787323288,7.972121238708496,1.0,72
145,136,0.0,0.9117647058823529,950.4487521126866,744.4445067048073,12.35188975,0.10088050324550331,7.972121238708496,1.0,60
21,128,0.0,0.9921875,951.5931301862001,34.81190486252308,20.9405915,0.035308176135926156,46.23830318450928,1.0,34
3,116,0.0,1.0,950.3664048835635,25.156003057956696,16.042557,0.12105660389460396,7.972121238708496,1.0,61
2,115,0.0,0.991304347826087,951.5931397527456,34.749063819646835,26.456684,0.035308176135926156,47.83272743225098,1.0,32
1,105,0.0,1.0,950.3906313627958,34.73195883631706,18.282303,0.10088050324550331,9.566545486450195,1.0,50
20,104,0.0,1.0,950.4097317680717,25.162878215312958,17.315799,0.10088050324550331,11.160969734191895,1.0,56
19,97,0.0,1.0,950.3837450444698,25.133451521396637,16.64301,0.09583647808322814,9.566545486450195,1.0,55
40,96,0.0,1.0,950.4600015729666,34.636529356241226,17.7610325,0.0857484277586778,9.566545486450195,1.0,53
79,95,0.0,1.0,951.5931333750486,63.24713476002216,26.468103,0.035308176135926156,47.83272743225098,1.0,26
58,86,0.0,0.9767441860465116,950.3871738538146,25.14035537838936,19.4429525,0.1160125787323288,9.566545486450195,1.0,46
43,82,0.0,0.9878048780487805,950.4297083094716,25.148182407021523,18.381268,0.1311446542191543,9.566545486450195,1.0,48
46,70,0.0,0.5714285714285714,887.9779983237386,73.09798203408718,12.33892,0.02017610064910066,12.755393981933594,2.0,35
96,68,0.0,0.75,955.9663520902395,687.1455278545618,49.500841,0.005044025162275165,11.160969734191895,2.0,30
38,67,0.0,0.9701492537313433,951.6329939812422,34.6572010666132,33.144882,0.03026415097365099,47.83272743225098,1.0,22
61,62,0.0,1.0,950.3959112986922,25.148998752236366,17.161330999999997,0.10844654098891605,7.972121238708496,1.0,46
115,57,0.0,0.9824561403508771,950.4010764360428,34.63653254508972,16.831152,0.0857484277586778,7.972121238708496,1.0,41
147,53,0.0,0.8113207547169812,951.6312656253576,832.6376668214798,20.647766,0.09079245292095298,30.294060707092285,1.0,34
54,51,0.0,0.9215686274509803,951.6451339274645,34.775073662400246,28.02783,0.035308176135926156,47.83272743225098,1.0,20
151,49,0.0,0.8775510204081632,951.5931333750486,832.6377529203892,13.470038,0.05548427678502682,11.160969734191895,1.0,34
29,43,0.0,0.6511627906976745,887.9898090213537,70.69315339624882,22.701591,0.02017610064910066,12.755393981933594,2.0,25
106,42,0.0,1.0,951.5896662995219,25.084893330931664,17.8482135,0.04035220129820132,20.72751522064209,1.0,33
10,42,0.0,0.5476190476190477,887.9448032081127,51.98050093650818,13.833259000000002,0.02017610064910066,12.755393981933594,2.0,29
70,40,0.0,0.575,887.9717019423842,70.59781958162785,12.954659,0.025220125811375827,14.349818229675293,2.0,32
45,40,0.0,0.425,887.9788473546505,74.55689775943756,15.18317,0.02017610064910066,14.349818229675293,3.0,24
13,38,0.0,0.5789473684210527,887.9665240496397,70.6655268073082,15.749432500000001,0.025220125811375827,14.349818229675293,2.0,26
89,33,0.0,0.48484848484848486,887.9447872638702,74.61612264811993,13.114045,0.02017610064910066,11.160969734191895,3.0,22
122,31,0.0,1.0,950.34390835464,16.198261365294456,16.531424,0.02017610064910066,17.53866672515869,1.0,23
95,27,0.0,0.5925925925925926,1150.2745047062635,553.6680133640766,7.494532,0.005044025162275165,14.349818229675293,2.0,3
9,25,0.0,0.6,1036.7629908770323,640.882353246212,12.978649,0.025220125811375827,11.160969734191895,2.0,9
69,24,0.0,0.7083333333333334,1012.3763485401869,104.15321131050587,10.554928499999999,0.015132075486825495,11.160969734191895,2.0,14
93,23,0.0,0.5652173913043478,887.978168129921,87.64082604646683,13.0643635,0.005044025162275165,9.566545486450195,2.0,19
48,23,0.0,0.5217391304347826,983.9896018952131,102.37309882044792,24.756039,0.02017610064910066,12.755393981933594,2.0,17
52,22,0.0,0.36363636363636365,887.9805454164743,50.00420092046261,64.7363475,0.10592452840777847,32.685697078704834,3.0,13
68,22,0.0,0.5454545454545454,899.9785217121243,70.64750821888447,13.3071105,0.035308176135926156,15.944242477416992,2.0,17
116,22,0.0,1.0,955.0932557359338,25.12991827726364,16.162903,0.1714968555173556,3.1888484954833984,1.0,18
88,22,0.0,0.5454545454545454,983.9892415553331,72.39563177525997,49.4976865,0.015132075486825495,12.755393981933594,2.0,17
105,21,0.0,1.0,950.4426749646664,25.100405484437943,18.10597,0.13618867938142945,6.377696990966797,1.0,17
55,21,0.0,1.0,951.5931285917759,34.56881256401539,18.88264,0.06052830194730198,47.83272743225098,1.0,11
117,21,0.0,1.0,950.4426956921816,25.05536937713623,17.629171,0.06557232710957715,3.1888484954833984,1.0,19
26,20,0.0,0.4,1007.9691199585795,104.10589677095413,15.617791,0.02017610064910066,13.552606105804443,3.0,15
65,19,0.0,0.42105263157894735,1007.9887784123421,101.7009389847517,15.860978,0.02017610064910066,11.160969734191895,3.0,12
150,19,0.0,0.7894736842105263,950.5068393796682,127.25991682708263,16.601368,0.15132075486825497,7.972121238708496,1.0,15
90,18,0.0,0.3888888888888889,863.9905607551336,61.049232095479965,30.1414195,0.025220125811375827,13.552606105804443,3.0,14
30,18,0.0,0.3888888888888889,887.9902506768703,61.00203235447407,23.0051895,0.015132075486825495,11.160969734191895,3.0,13
128,18,0.0,1.0,950.3923916071653,25.123038336634636,15.4507595,0.14123270454370462,1.5944242477416992,1.0,11
51,17,0.0,0.47058823529411764,1169.1950047165155,243.05498100817204,7.790983,0.005044025162275165,15.944242477416992,3.0,2
18,16,0.0,0.75,893.9738458544016,176.79359996318817,18.6206325,0.15132075486825497,29.496848583221436,2.0,1
