cluster,n,frac_rfi_label,frac_confined,median_freq_mhz,freq_span_mhz,median_snr,median_abs_drift,median_bandwidth_hz,median_n_beams,n_obs
60,2735,0.17184643510054845,0.5074954296160877,950.3837641775608,104.4340834915638,16.887032,0.16401217301849572,11.160969734191895,2.0,141
728,2716,0.18188512518409425,0.5073637702503682,950.3733047544956,104.5666359513998,16.7820215,0.15376141220483974,11.160969734191895,2.0,139
250,2711,0.1766875691626706,0.5042419771302102,950.3837530165911,98.12355002760887,16.132011,0.15376141220483974,11.160969734191895,2.0,141
310,2709,0.18014027316352899,0.4913252122554448,950.390677601099,103.81036385893822,16.383333,0.15376141220483974,11.160969734191895,3.0,138
373,2701,0.18474639022584227,0.4942613846723436,950.3646741360426,103.24799767136574,16.480322,0.15376141220483974,11.160969734191895,3.0,138
110,2700,0.18777777777777777,0.49962962962962965,950.3802819550037,103.89384791254997,16.458151,0.15376141220483974,11.160969734191895,3.0,140
0,2699,0.1782141533901445,0.49981474620229716,950.343901976943,104.5666391402483,16.705809,0.15376141220483974,11.160969734191895,3.0,139
385,2695,0.18812615955473097,0.47940630797773653,950.3646422475576,98.7957066744566,16.778463,0.14351065139118374,11.160969734191895,3.0,137
646,2689,0.18817404239494237,0.5046485682409818,950.3733047544956,98.12287877500057,16.349016,0.15376141220483974,11.160969734191895,2.0,139
561,2682,0.17747949291573453,0.5167785234899329,950.3958674520254,102.01920998096466,16.4791745,0.15376141220483974,11.160969734191895,2.0,138
505,2682,0.1830723340790455,0.4873228933631618,950.350826561451,100.10896536707878,16.3558095,0.14351065139118374,12.755393981933594,3.0,140
480,2681,0.18500559492726595,0.49123461395001866,950.3646231144667,96.1793744713068,16.89033,0.15376141220483974,11.160969734191895,3.0,141
348,2680,0.18059701492537314,0.4832089552238806,950.3646940663457,98.12358988821507,17.1143115,0.14351065139118374,11.160969734191895,3.0,141
80,2674,0.18324607329842932,0.49663425579655945,950.3837251141667,104.01524259150028,16.2936285,0.15376141220483974,11.160969734191895,3.0,138
682,2673,0.18032173587729144,0.5177702955480733,950.3646900802851,100.56569616496563,16.497425,0.15376141220483974,12.755393981933594,2.0,142
622,2672,0.19236526946107785,0.499625748502994,950.3438637107611,103.33872200548649,15.8074905,0.14351065139118374,11.160969734191895,3.0,142
567,2672,0.18413173652694612,0.5179640718562875,950.3958538994193,100.56569297611713,16.3432605,0.15376141220483974,11.160969734191895,2.0,141
186,2671,0.177836016473231,0.4926993635342568,950.3958722352982,99.89291290938854,16.337477,0.15376141220483974,11.160969734191895,3.0,139
336,2668,0.17766116941529236,0.49250374812593706,950.3646693527699,104.56663754582405,16.7223185,0.15376141220483974,11.160969734191895,3.0,139
