file,row,id,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,beam_frac,weak_label,rfi_score,verdict
uhf_short,58804,33412266,MeerKAT:array_1:20250702T005726Z,Gaia_2682556794064633216,44,623.9851415753365,-0.03422447510577816,19.423223,3,0.046875,-1,0.9927737263167854,pruned
uhf_short,21289,1097406,MeerKAT:array_1:20250711T003519Z,Gaia_2682581567435990016,45,576.0404502153397,-0.05133671265866724,47.92544,2,0.03125,0,0.9927901336420928,pruned
lband_long,11680,318502,MeerKAT:array_1:20250719T204244Z,Gaia_6441080544491623936,57,864.0003537088633,-0.12105660389460396,10.773263,4,0.0625,-1,0.9927978891406113,pruned
uhf_long,113066,34636403,MeerKAT:array_1:20250705T194745Z,Gaia_4189257984664230144,57,647.9679316282272,-0.006111513411746101,117.77712,2,0.03125,0,0.9927985214116564,pruned
uhf_long,97913,33540222,MeerKAT:array_1:20250715T141354Z,ex_CRTS_J151431.7-304813,16,625.0280812382698,-0.0162973690979896,25.249456,2,0.03125,0,0.992799709564729,pruned
uhf_long,87859,33370907,MeerKAT:array_1:20250720T024534Z,Gaia_4669822047207700608,5,613.1961596012115,-0.030557567058730504,37.38169,3,0.046875,-1,0.9928028603224641,pruned
uhf_long,94436,33529310,MeerKAT:array_1:20250713T184021Z,Gaia_6440708119287928320,37,625.0283477306366,0.024446053646984402,11.050445,4,0.0625,-1,0.9928160609421421,pruned
uhf_long,1647,43475,MeerKAT:array_1:20250705T060310Z,Gaia_6441451011190833664,24,551.9478186964989,0.024446053646984402,338.0866,1,0.015625,0,0.9928306982299492,pruned
uhf_long,130432,35391588,MeerKAT:array_1:20250705T192701Z,ex_CRTS_J191553.8-323506,56,671.9837302565575,-0.038706251607725305,25.314625,2,0.03125,0,0.9928307288992037,pruned
lband_long,58471,1268756,MeerKAT:array_1:20250708T085539Z,Gaia_2978672146057892480,42,920.2146856039762,-0.20680503165328176,11.724183,4,0.0625,-1,0.9928372541397632,pruned
uhf_short,6008,382728,MeerKAT:array_1:20250730T185654Z,Gaia_4426444014531979136,17,551.9870457649231,-0.0855611877644454,51.577564,4,0.0625,-1,0.9928436706381017,pruned
uhf_long,188219,33632465,MeerKAT:array_1:20250723T045553Z,Gaia_4663586063972028288,10,625.0210734009743,0.0020371711372487,17.352383,3,0.046875,-1,0.9928709091940643,pruned
uhf_long,37999,1076192,MeerKAT:array_1:20250705T192701Z,ex_CRTS_J191653.5-314031,5,576.0404248833656,0.038706251607725305,42.67594,1,0.015625,0,0.9928831591538639,pruned
uhf_long,92680,33464318,MeerKAT:array_1:20250705T190623Z,ex_ASASSN-V_J182635.29-120227.9,14,623.9691601395607,0.024446053646984402,13.401569,2,0.03125,0,0.9928833884515321,pruned
uhf_long,77983,12892915,MeerKAT:array_1:20250726T235112Z,Gaia_6441474307091755776,38,599.98174649477,0.0162973690979896,51.640392,3,0.046875,-1,0.9928905656933287,pruned
uhf_long,94037,33482995,MeerKAT:array_1:20250708T010310Z,ex_V408_Pav,54,625.0286729931831,0.012223026823492201,17.16318,4,0.0625,-1,0.9928927046790459,pruned
lband_long,58453,1268724,MeerKAT:array_1:20250708T085539Z,Gaia_2978904280450535936,35,920.2146856039762,-0.20680503165328176,11.198747,4,0.0625,-1,0.9928977728165884,pruned
uhf_long,113704,34642600,MeerKAT:array_1:20250707T175557Z,ex_ASASSN-V_J183157.21-242115.4,4,647.967808008194,-0.081486845489948,138.71786,2,0.03125,0,0.9929012738108791,pruned
uhf_long,166544,1049339,MeerKAT:array_1:20250731T221802Z,Gaia_4669730306706410880,30,563.9712470173836,-0.0040743422744974,16.815128,3,0.046875,-1,0.9929031140175871,pruned
uhf_short,142948,1187828,MeerKAT:array_1:20250720T034305Z,ex_LEDA_494162,60,576.0409041643143,-0.00855611877644454,18.682547,1,0.015625,0,0.9929598520248667,pruned
uhf_short,20628,1095680,MeerKAT:array_1:20250711T001051Z,Gaia_2682592115875728384,15,576.0403195023537,-0.11122954409377903,48.01746,2,0.03125,0,0.9929633295744693,pruned
uhf_short,9546,403921,MeerKAT:array_1:20250731T233401Z,Gaia_2537265643943454080,31,551.9718080759048,-0.05133671265866724,23.277832,2,0.03125,0,0.9929765339707537,pruned
lband_long,322845,1440904,MeerKAT:array_1:20250719T103545Z,Gaia_4669719895705672448,60,920.0908610224724,-0.005044025162275165,25.33758,2,0.03125,0,0.9929876714718784,pruned
