file,row,id,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,beam_frac,weak_label,rfi_score,verdict
lband_short,310076,26029698,MeerKAT:array_1:20250712T010545Z,Gaia_4216980280574183936,50,959.8121958523989,0.09225684732290385,21.924225,32,0.5,1,0.0030862241723369657,shortlist
uhf_long,32362,987652,MeerKAT:array_1:20250715T135202Z,Gaia_6014539645747431680,61,562.5537295341492,-0.055003620705714906,15.997809,44,0.6875,1,0.003103564734234402,shortlist
uhf_long,32364,987654,MeerKAT:array_1:20250715T135202Z,Gaia_6014539542668216832,63,562.5537295341492,-0.0529664495684662,14.869431,44,0.6875,1,0.003104077722901668,shortlist
uhf_long,32323,987596,MeerKAT:array_1:20250715T135202Z,ex_RX_J1534.3-3300,5,562.5537295341492,-0.0529664495684662,14.850094,44,0.6875,1,0.003108223678371488,shortlist
lband_long,134263,20985131,MeerKAT:array_1:20250707T231708Z,Gaia_6441064189256154752,2,959.6977911293507,-0.02017610064910066,14.000865,40,0.625,1,0.003126311698349215,shortlist
lband_long,134421,20985488,MeerKAT:array_1:20250707T231708Z,Gaia_6440684514147621760,38,959.6977911293507,-0.025220125811375827,16.629904,40,0.625,1,0.0031286935615535637,shortlist
lband_short,282086,24370987,MeerKAT:array_1:20250711T095125Z,Gaia_4814708783208619136,56,950.3837450444698,-0.09225684732290385,30.415218,32,0.5,1,0.0031342672000408914,shortlist
lband_long,192320,32990860,MeerKAT:array_1:20250731T132801Z,Gaia_5883522458668776448,13,950.4548340439796,0.025220125811375827,26.850138,35,0.546875,1,0.0031356569976082305,shortlist
uhf_long,105100,33876813,MeerKAT:array_1:20250715T124827Z,ex_2dFGRS_TGN261Z225,43,636.2808470726013,-0.059077962980212305,18.030573,44,0.6875,1,0.0031399601656736543,shortlist
uhf_long,79807,28005099,MeerKAT:array_1:20250715T124827Z,ex_[VV2006]_J131618.7-022454,13,611.7051236629486,-0.059077962980212305,38.79594,56,0.875,1,0.0031425908204964384,shortlist
